time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_pre_proj_qkv.min,time_stats.attn_pre_proj_qkv.max,time_stats.attn_pre_proj_qkv.mean,time_stats.attn_pre_proj_qkv.median,time_stats.attn_pre_proj_qkv.std,time_stats.attn_pre_proj_qkv.count,time_stats.attn_pre_proj_q_norm.min,time_stats.attn_pre_proj_q_norm.max,time_stats.attn_pre_proj_q_norm.mean,time_stats.attn_pre_proj_q_norm.median,time_stats.attn_pre_proj_q_norm.std,time_stats.attn_pre_proj_q_norm.count,time_stats.attn_pre_proj_wq.min,time_stats.attn_pre_proj_wq.max,time_stats.attn_pre_proj_wq.mean,time_stats.attn_pre_proj_wq.median,time_stats.attn_pre_proj_wq.std,time_stats.attn_pre_proj_wq.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,time_stats.share_expert_up_proj.min,time_stats.share_expert_up_proj.max,time_stats.share_expert_up_proj.mean,time_stats.share_expert_up_proj.median,time_stats.share_expert_up_proj.std,time_stats.share_expert_up_proj.count,time_stats.share_expert_act.min,time_stats.share_expert_act.max,time_stats.share_expert_act.mean,time_stats.share_expert_act.median,time_stats.share_expert_act.std,time_stats.share_expert_act.count,time_stats.share_expert_down_proj.min,time_stats.share_expert_down_proj.max,time_stats.share_expert_down_proj.mean,time_stats.share_expert_down_proj.median,time_stats.share_expert_down_proj.std,time_stats.share_expert_down_proj.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
,,,,,,,,,,,,0.03904,0.0405759999999999,0.039675,0.039568,0.0004906463084544,20,,,,,,,,,,,,,0.014496,0.015552,0.01478865,0.0146875,0.0003033536343939,20,0.005152,0.005761,0.00544965,0.0054395,0.000172473555944,20,0.041599,0.042975,0.04208455,0.042,0.0003943586533854,20,,,,,,,0.027104,0.028192,0.02746385,0.027423,0.0003330575438268,20,0.002528,0.002848,0.00262715,0.002624,5.8045908555211694e-05,20,0.014943,0.016193,0.01528785,0.015184,0.0003260739601685,20,64,1,7168,5120,128815,True,False,False,32,2,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.0382729999999999,0.03952,0.0388156499999999,0.038639,0.0003978630763214,20,,,,,,,,,,,,,0.01424,0.0152319999999999,0.01456305,0.014464,0.0003121751871946,20,0.005088,0.00544,0.0052561,0.0052645,8.815492045257607e-05,20,0.040832,0.042272,0.04152935,0.041456,0.0004242424159604,20,,,,,,,0.026784,0.027968,0.0270958499999999,0.0270079999999999,0.0003154440164276,20,0.002528,0.002815,0.0026111,0.002592,7.382201568637903e-05,20,0.014528,0.015424,0.0148064,0.014752,0.0002260637963053,20,64,1,7168,5120,128815,True,False,False,16,2,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.037857,0.039361,0.03843985,0.0383834999999999,0.000358061904564,20,,,,,,,,,,,,,0.013889,0.014305,0.0140944,0.014096,0.0001057749497754,20,0.005024,0.005568,0.005232,0.005168,0.0001606689142304,20,0.044032,0.045408,0.04468945,0.0447035,0.00040561231182,20,,,,,,,0.026496,0.02736,0.02675665,0.02672,0.0002113975579329,20,0.002432,0.002784,0.0025792,0.0026235,0.0001156389207836,20,0.014495,0.015392,0.0146976499999999,0.0146395,0.0002356879876022,20,64,1,7168,5120,128815,True,False,False,8,2,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.037471,0.039201,0.03794255,0.0378079999999999,0.0004384858578107,20,,,,,,,,,,,,,0.013824,0.014688,0.01401595,0.0139515,0.0002321110671639,20,0.0048,0.0056,0.00505275,0.005072,0.000193880085362,20,0.0435199999999999,0.044928,0.0441086,0.0440315,0.0004364639045786,20,,,,,,,0.0264639999999999,0.02752,0.0269790499999999,0.0269435,0.0003422520233687,20,0.0024,0.00272,0.0025312,0.002544,0.000107521904745,20,0.0144,0.015265,0.01469925,0.014704,0.0002174950286788,20,64,1,7168,5120,128815,True,False,False,4,2,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.037216,0.038527,0.0376619999999999,0.0375839999999999,0.0003671729837556,20,,,,,,,,,,,,,0.013727,0.014144,0.013867,0.013871,0.0001137193914862,20,0.004832,0.005183,0.00498725,0.00496,0.0001098653152728,20,0.043135,0.044384,0.0437996499999999,0.043888,0.0004246874468359,20,,,,,,,0.0260479999999999,0.02736,0.0264062999999999,0.02624,0.0003354883157428,20,0.0024,0.002656,0.0024944,0.00248,6.024566374437257e-05,20,0.014368,0.015328,0.01462535,0.0145595,0.0002455722449708,20,64,1,7168,5120,128815,True,False,False,2,2,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.033887,0.0353589999999999,0.03446705,0.0344005,0.0004402590686175,20,,,,,,,,,,,,,0.013568,0.014655,0.0138671499999999,0.013696,0.0003349324222884,20,0.004672,0.00528,0.0049648,0.004944,0.0001616791885184,20,0.042847,0.044064,0.04337585,0.0434075,0.0003031331844255,20,,,,,,,0.026143,0.027456,0.02667175,0.026496,0.0004492538118925,20,0.002336,0.002656,0.00247205,0.002464,0.0001084843191433,20,0.014272,0.01568,0.01466395,0.0145755,0.0003321170689681,20,64,1,7168,5120,128815,True,False,False,1,2,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.034463,0.036063,0.0352702,0.0352964999999999,0.0004615184286678,20,,,,,,,,,,,,,0.009344,0.010081,0.00953135,0.009488,0.0001928258994533,20,0.003904,0.004352,0.0040558999999999,0.0040479999999999,0.0001076224418975,20,0.023904,0.024831,0.0241807,0.024064,0.0002865749640146,20,,,,,,,0.0185919999999999,0.01952,0.01894085,0.01888,0.0002373451653183,20,0.002144,0.002304,0.0022049,0.002208,3.902934793203692e-05,20,0.008928,0.009503,0.00921275,0.0092965,0.0001916227739596,20,64,1,7168,5120,128815,True,False,False,128,4,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.032064,0.03312,0.0325502,0.0325595,0.0003433723343544,20,,,,,,,,,,,,,0.008768,0.0096,0.00904155,0.0089925,0.0002174528627082,20,0.003776,0.00416,0.0039616,0.003952,0.0001045559180534,20,0.022816,0.024575,0.0236287,0.023696,0.0005789967271064,20,,,,,,,0.016832,0.0180159999999999,0.0172542999999999,0.0172155,0.0002881980395491,20,0.002208,0.002432,0.0022624,0.00224,6.48740317846824e-05,20,0.008672,0.009632,0.00894375,0.00888,0.0002104285805208,20,64,1,7168,5120,128815,True,False,False,64,4,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.033694,0.0356169999999999,0.0341552,0.033968,0.000488091856109,20,,,,,,,,,,,,,0.008928,0.009856,0.00914885,0.009104,0.0002056945004126,20,0.003744,0.004064,0.00386395,0.003856,8.280608371369824e-05,20,0.022976,0.024096,0.02331345,0.023216,0.0003156399016284,20,,,,,,,0.0183359999999999,0.01936,0.01864795,0.018608,0.000246276973142,20,0.002144,0.002496,0.0022576,0.00224,9.134133784875268e-05,20,0.008864,0.009921,0.00914885,0.0090879999999999,0.0002216948973251,20,64,1,7168,5120,128815,True,False,False,32,4,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.0330879999999999,0.034241,0.0335103999999999,0.0334885,0.0002854011913079,20,,,,,,,,,,,,,0.008799,0.0096,0.0090783,0.009024,0.0002340848350491,20,0.003744,0.004096,0.0039008,0.003888,0.0001070446635755,20,0.02256,0.02384,0.0228767,0.0227519999999999,0.0003406988552959,20,,,,,,,0.01792,0.019008,0.0183262,0.0181915,0.0003167840905096,20,0.002144,0.002304,0.0021872,0.002176,4.325921867070652e-05,20,0.008608,0.009248,0.00885115,0.008832,0.0001591924228724,20,64,1,7168,5120,128815,True,False,False,16,4,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.032192,0.0336319999999999,0.03263185,0.0325759999999999,0.0003261872583348,20,,,,,,,,,,,,,0.008352,0.008608,0.0084592,0.008448,6.872161232101617e-05,20,0.003616,0.004096,0.0037919,0.003792,0.0001429520548995,20,0.0220479999999999,0.023168,0.02251835,0.022368,0.000359746198729,20,,,,,,,0.0175679999999999,0.018528,0.0178623999999999,0.017824,0.0002169920275033,20,0.001984,0.002336,0.0021152,0.002112,0.000102649695567,20,0.008607,0.008895,0.00873115,0.0087205,7.096497375466297e-05,20,64,1,7168,5120,128815,True,False,False,8,4,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.031904,0.032608,0.03227985,0.0323045,0.0002049807978811,20,,,,,,,,,,,,,0.00832,0.008704,0.00849435,0.00848,0.0001177069560391,20,0.00336,0.004032,0.0036592,0.003616,0.0001714673729897,20,0.021856,0.023072,0.0222798499999999,0.02216,0.0003495222846972,20,,,,,,,0.017376,0.018368,0.01769275,0.017601,0.0002862547597857,20,0.001952,0.002368,0.00209745,0.0021275,0.0001195443327807,20,0.008608,0.00944,0.00879195,0.008736,0.0002142282602739,20,64,1,7168,5120,128815,True,False,False,4,4,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.031328,0.032448,0.0318538,0.0318085,0.0002704711814593,20,,,,,,,,,,,,,0.008128,0.008608,0.00839175,0.0084475,0.0001420682494437,20,0.00336,0.004,0.00367685,0.0036805,0.000158683734201,20,0.021408,0.02272,0.0218541,0.021888,0.0003063434184049,20,,,,,,,0.0171199999999999,0.018496,0.0174718,0.0173445,0.0003379518604771,20,0.001984,0.002176,0.0021008,0.002144,8.422446200481201e-05,20,0.008608,0.0093759999999999,0.0087215,0.008672,0.0001660685099589,20,64,1,7168,5120,128815,True,False,False,2,4,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.028448,0.029536,0.02888455,0.0288465,0.0002626588043451,20,,,,,,,,,,,,,0.00816,0.008416,0.00829915,0.008304,6.956311882024832e-05,20,0.003488,0.004096,0.0036767499999999,0.0036955,0.0001353365711845,20,0.021759,0.022816,0.0220032,0.0219195,0.0002695886867062,20,,,,,,,0.01696,0.0180159999999999,0.0173695,0.017232,0.0003494721018908,20,0.001951,0.002432,0.0021039499999999,0.00208,0.0001292038989349,20,0.008544,0.009184,0.0087056499999999,0.0086725,0.0001340112961656,20,64,1,7168,5120,128815,True,False,False,1,4,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.032832,0.034017,0.03348945,0.0335199999999999,0.0003718149371663,20,,,,,,,,,,,,,0.006976,0.007647,0.00719195,0.007152,0.0001757160991485,20,0.003232,0.00368,0.00335835,0.0033435,0.0001190786609766,20,0.013535,0.0144,0.0137597999999999,0.0136965,0.0002113732717256,20,,,,,,,0.013824,0.014753,0.01416475,0.0141445,0.0001903556868076,20,0.001823,0.001953,0.0018544,0.001856,3.592130287169438e-05,20,0.006272,0.00656,0.0064126999999999,0.006432,9.612757148706067e-05,20,64,1,7168,5120,128815,True,False,False,128,8,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.029918,0.0311989999999999,0.03058365,0.030544,0.0003469245270948,20,,,,,,,,,,,,,0.006495,0.007072,0.0067439,0.006704,0.0001687367476277,20,0.003168,0.00336,0.00322885,0.003216,5.527863511339612e-05,20,0.01328,0.013793,0.0135711,0.0135835,0.0001351158391899,20,,,,,,,0.012736,0.013792,0.0130304,0.0129755,0.000237899222361,20,0.00176,0.001824,0.001784,0.001792,1.7158088471621753e-05,20,0.005952,0.006113,0.0060304,0.0060475,4.90982688085844e-05,20,64,1,7168,5120,128815,True,False,False,64,8,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.0311989999999999,0.032415,0.0315677999999999,0.031519,0.0002772094154245,20,,,,,,,,,,,,,0.006367,0.007007,0.00653915,0.0065125,0.00014168425283,20,0.003104,0.003424,0.00319365,0.0032,8.444481926086404e-05,20,0.013184,0.014144,0.01343675,0.0133765,0.0002434343597358,20,,,,,,,0.011648,0.012128,0.0118286,0.0118075,0.0001317146157417,20,0.001728,0.001984,0.00179515,0.001792,4.947451364086364e-05,20,0.005856,0.006464,0.0059872999999999,0.005936,0.0001550600206371,20,64,1,7168,5120,128815,True,False,False,32,8,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.030432,0.031487,0.0308798,0.0308645,0.0002729643932823,20,,,,,,,,,,,,,0.006272,0.006752,0.00644965,0.006416,0.0001375406394488,20,0.003008,0.003488,0.00317585,0.003136,0.0001060383303338,20,0.012832,0.0133759999999999,0.0130415999999999,0.013056,0.000123304257834,20,,,,,,,0.011392,0.012352,0.0117118999999999,0.0116645,0.0002149534600791,20,0.001728,0.001952,0.00177295,0.00176,6.503266486927934e-05,20,0.005632,0.006432,0.005792,0.0057599999999999,0.0001618891596123,20,64,1,7168,5120,128815,True,False,False,16,8,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.0299189999999999,0.031263,0.0306445,0.030672,0.0003395424126674,20,,,,,,,,,,,,,0.006208,0.006624,0.00638395,0.0063675,0.0001173650182124,20,0.002944,0.003392,0.0031344999999999,0.003168,0.0001165137330961,20,0.012513,0.013023,0.0127456,0.012751,0.0001298281171395,20,,,,,,,0.0112319999999999,0.011936,0.01145265,0.0114235,0.0001554819201708,20,0.001632,0.002048,0.00177595,0.001792,0.0001227878149492,20,0.005568,0.006464,0.00572475,0.0056955,0.0001784351072519,20,64,1,7168,5120,128815,True,False,False,8,8,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.0295679999999999,0.0304949999999999,0.030035,0.03,0.0002352966213102,20,,,,,,,,,,,,,0.006144,0.0064,0.00628795,0.006304,6.593365984078246e-05,20,0.002848,0.003488,0.00309435,0.003056,0.0001694217444721,20,0.01232,0.013216,0.01263635,0.012575,0.0002681908415662,20,,,,,,,0.0111679999999999,0.011872,0.01136805,0.0113125,0.0001643881002384,20,0.0016,0.001825,0.0017056,0.001696,9.445813887643562e-05,20,0.005599,0.005888,0.00568485,0.005664,6.886964135234032e-05,20,64,1,7168,5120,128815,True,False,False,4,8,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
