snapshot,counts_waiting_running,counts_source,wave,publish_monotonic,applied_monotonic,provenance
25,"[[0, 3], [0, 1]]",latched_previous_step,3,560651.018199781,560651.018743513,"[{""engine"": 0, ""wave"": 3, ""step"": 127, ""iteration_seq"": 281, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 127, ""iteration_seq"": 268, ""branch"": ""applied_after_scheduling""}]"
26,"[[0, 2], [0, 0]]",latched_previous_step,3,560651.118628137,560651.118861916,"[{""engine"": 0, ""wave"": 3, ""step"": 129, ""iteration_seq"": 283, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 129, ""iteration_seq"": 270, ""branch"": ""applied_after_scheduling""}]"
27,"[[0, 0], [0, 0]]",current,3,560651.218825874,560651.21916654,"[{""engine"": 0, ""wave"": 3, ""step"": 131, ""iteration_seq"": 285, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 129, ""iteration_seq"": 270, ""branch"": ""applied_after_scheduling""}]"
28,"[[0, 0], [0, 0]]",current,4,560656.223781565,560656.224182275,"[{""engine"": 0, ""wave"": 3, ""step"": 131, ""iteration_seq"": 285, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 129, ""iteration_seq"": 270, ""branch"": ""applied_after_scheduling""}]"
29,"[[0, 0], [0, 0]]",current,4,560661.228969568,560661.22931547,"[{""engine"": 0, ""wave"": 3, ""step"": 131, ""iteration_seq"": 285, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 129, ""iteration_seq"": 270, ""branch"": ""applied_after_scheduling""}]"
30,"[[0, 0], [0, 0]]",current,4,560666.234119657,560666.23447002,"[{""engine"": 0, ""wave"": 3, ""step"": 131, ""iteration_seq"": 285, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 129, ""iteration_seq"": 270, ""branch"": ""applied_after_scheduling""}]"
31,"[[0, 1], [0, 1]]",latched_previous_step,4,560669.376383493,560669.376662528,"[{""engine"": 0, ""wave"": 4, ""step"": 0, ""iteration_seq"": 288, ""branch"": ""scheduled_without_applying""}, {""engine"": 1, ""wave"": 4, ""step"": 0, ""iteration_seq"": 273, ""branch"": ""scheduled_without_applying""}]"
32,"[[0, 2], [0, 2]]",latched_previous_step,4,560669.476677085,560669.476883923,"[{""engine"": 0, ""wave"": 4, ""step"": 1, ""iteration_seq"": 289, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 4, ""step"": 1, ""iteration_seq"": 274, ""branch"": ""applied_after_scheduling""}]"
33,"[[0, 3], [0, 2]]",current,4,560669.576880205,560669.577128308,"[{""engine"": 0, ""wave"": 4, ""step"": 2, ""iteration_seq"": 290, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 4, ""step"": 1, ""iteration_seq"": 274, ""branch"": ""applied_after_scheduling""}]"
34,"[[0, 4], [0, 2]]",current,4,560669.677878418,560669.678096863,"[{""engine"": 0, ""wave"": 4, ""step"": 4, ""iteration_seq"": 292, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 4, ""step"": 1, ""iteration_seq"": 274, ""branch"": ""applied_after_scheduling""}]"
35,"[[0, 3], [0, 1]]",latched_previous_step,4,560670.86148171,560670.862225314,"[{""engine"": 0, ""wave"": 4, ""step"": 127, ""iteration_seq"": 415, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 4, ""step"": 127, ""iteration_seq"": 400, ""branch"": ""applied_after_scheduling""}]"
36,"[[0, 2], [0, 0]]",latched_previous_step,4,560670.961942414,560670.962401908,"[{""engine"": 0, ""wave"": 4, ""step"": 128, ""iteration_seq"": 416, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 4, ""step"": 128, ""iteration_seq"": 401, ""branch"": ""applied_after_scheduling""}]"
37,"[[0, 0], [0, 0]]",current,5,560671.107993138,560671.108340409,"[{""engine"": 0, ""wave"": 4, ""step"": 131, ""iteration_seq"": 419, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 4, ""step"": 128, ""iteration_seq"": 401, ""branch"": ""applied_after_scheduling""}]"
38,"[[0, 0], [0, 0]]",current,5,560676.112064047,560676.112425022,"[{""engine"": 0, ""wave"": 4, ""step"": 131, ""iteration_seq"": 419, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 4, ""step"": 128, ""iteration_seq"": 401, ""branch"": ""applied_after_scheduling""}]"
39,"[[0, 0], [0, 0]]",current,5,560681.114990651,560681.115385627,"[{""engine"": 0, ""wave"": 4, ""step"": 131, ""iteration_seq"": 419, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 4, ""step"": 128, ""iteration_seq"": 401, ""branch"": ""applied_after_scheduling""}]"
40,"[[0, 0], [0, 0]]",current,5,560686.117173903,560686.117529008,"[{""engine"": 0, ""wave"": 4, ""step"": 131, ""iteration_seq"": 419, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 4, ""step"": 128, ""iteration_seq"": 401, ""branch"": ""applied_after_scheduling""}]"
41,"[[0, 1], [0, 0]]",latched_previous_step,5,560689.495433444,560689.495595224,"[{""engine"": 0, ""wave"": 5, ""step"": 0, ""iteration_seq"": 422, ""branch"": ""scheduled_without_applying""}, {""engine"": 1, ""wave"": 4, ""step"": 128, ""iteration_seq"": 401, ""branch"": ""applied_after_scheduling""}]"
42,"[[0, 1], [1, 1]]",current,5,560689.595618138,560689.595969357,"[{""engine"": 0, ""wave"": 5, ""step"": 0, ""iteration_seq"": 422, ""branch"": ""scheduled_without_applying""}, {""engine"": 1, ""wave"": 5, ""step"": 1, ""iteration_seq"": 404, ""branch"": ""scheduled_without_applying""}]"
43,"[[0, 3], [1, 1]]",current,5,560689.695120723,560689.695460141,"[{""engine"": 0, ""wave"": 5, ""step"": 2, ""iteration_seq"": 424, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 5, ""step"": 1, ""iteration_seq"": 404, ""branch"": ""scheduled_without_applying""}]"
44,"[[0, 3], [0, 3]]",current,5,560689.83650587,560689.836756426,"[{""engine"": 0, ""wave"": 5, ""step"": 2, ""iteration_seq"": 424, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 5, ""step"": 3, ""iteration_seq"": 406, ""branch"": ""applied_after_scheduling""}]"
45,"[[0, 2], [0, 3]]",latched_previous_step,5,560691.447112544,560691.44759667,"[{""engine"": 0, ""wave"": 5, ""step"": 127, ""iteration_seq"": 549, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 5, ""step"": 3, ""iteration_seq"": 406, ""branch"": ""applied_after_scheduling""}]"
46,"[[0, 0], [0, 2]]",latched_previous_step,5,560691.547282531,560691.547522248,"[{""engine"": 0, ""wave"": 5, ""step"": 129, ""iteration_seq"": 551, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 5, ""step"": 129, ""iteration_seq"": 532, ""branch"": ""applied_after_scheduling""}]"
47,"[[0, 0], [0, 0]]",current,5,560691.647466325,560691.647704053,"[{""engine"": 0, ""wave"": 5, ""step"": 129, ""iteration_seq"": 551, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 5, ""step"": 130, ""iteration_seq"": 533, ""branch"": ""applied_after_scheduling""}]"
48,"[[0, 0], [0, 0]]",current,6,560696.64919243,560696.649544779,"[{""engine"": 0, ""wave"": 5, ""step"": 129, ""iteration_seq"": 551, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 5, ""step"": 130, ""iteration_seq"": 533, ""branch"": ""applied_after_scheduling""}]"
49,"[[0, 0], [0, 0]]",current,6,560701.654364254,560701.654726097,"[{""engine"": 0, ""wave"": 5, ""step"": 129, ""iteration_seq"": 551, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 5, ""step"": 130, ""iteration_seq"": 533, ""branch"": ""applied_after_scheduling""}]"
50,"[[0, 0], [0, 0]]",current,6,560706.659532797,560706.659865048,"[{""engine"": 0, ""wave"": 5, ""step"": 129, ""iteration_seq"": 551, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 5, ""step"": 130, ""iteration_seq"": 533, ""branch"": ""applied_after_scheduling""}]"
51,"[[0, 1], [0, 0]]",current,6,560709.527011814,560709.527209443,"[{""engine"": 0, ""wave"": 6, ""step"": 0, ""iteration_seq"": 554, ""branch"": ""scheduled_without_applying""}, {""engine"": 1, ""wave"": 5, ""step"": 130, ""iteration_seq"": 533, ""branch"": ""applied_after_scheduling""}]"
52,"[[0, 1], [0, 1]]",latched_previous_step,6,560709.627942274,560709.628104512,"[{""engine"": 0, ""wave"": 6, ""step"": 0, ""iteration_seq"": 554, ""branch"": ""scheduled_without_applying""}, {""engine"": 1, ""wave"": 6, ""step"": 4, ""iteration_seq"": 536, ""branch"": ""scheduled_without_applying""}]"
53,"[[0, 2], [0, 1]]",latched_previous_step,6,560709.728351913,560709.728585705,"[{""engine"": 0, ""wave"": 6, ""step"": 10, ""iteration_seq"": 564, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 4, ""iteration_seq"": 536, ""branch"": ""scheduled_without_applying""}]"
54,"[[0, 3], [0, 2]]",latched_previous_step,6,560709.828314041,560709.828542985,"[{""engine"": 0, ""wave"": 6, ""step"": 14, ""iteration_seq"": 568, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 20, ""iteration_seq"": 552, ""branch"": ""applied_after_scheduling""}]"
55,"[[0, 3], [0, 4]]",latched_previous_step,6,560709.928299296,560709.928538384,"[{""engine"": 0, ""wave"": 6, ""step"": 14, ""iteration_seq"": 568, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 30, ""iteration_seq"": 562, ""branch"": ""applied_after_scheduling""}]"
56,"[[0, 5], [0, 4]]",latched_previous_step,6,560710.028233548,560710.028414421,"[{""engine"": 0, ""wave"": 6, ""step"": 40, ""iteration_seq"": 594, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 30, ""iteration_seq"": 562, ""branch"": ""applied_after_scheduling""}]"
57,"[[0, 5], [0, 5]]",latched_previous_step,6,560710.128401999,560710.128585802,"[{""engine"": 0, ""wave"": 6, ""step"": 40, ""iteration_seq"": 594, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 44, ""iteration_seq"": 576, ""branch"": ""applied_after_scheduling""}]"
58,"[[0, 6], [0, 6]]",latched_previous_step,6,560710.228780638,560710.228977885,"[{""engine"": 0, ""wave"": 6, ""step"": 56, ""iteration_seq"": 610, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 50, ""iteration_seq"": 582, ""branch"": ""applied_after_scheduling""}]"
59,"[[0, 7], [0, 6]]",latched_previous_step,6,560710.328383295,560710.328574073,"[{""engine"": 0, ""wave"": 6, ""step"": 68, ""iteration_seq"": 622, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 67, ""iteration_seq"": 599, ""branch"": ""applied_after_scheduling""}]"
60,"[[0, 7], [0, 7]]",latched_previous_step,6,560710.428469316,560710.428669629,"[{""engine"": 0, ""wave"": 6, ""step"": 68, ""iteration_seq"": 622, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 72, ""iteration_seq"": 604, ""branch"": ""applied_after_scheduling""}]"
61,"[[0, 8], [0, 7]]",latched_previous_step,6,560710.528799063,560710.529076425,"[{""engine"": 0, ""wave"": 6, ""step"": 82, ""iteration_seq"": 636, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 87, ""iteration_seq"": 619, ""branch"": ""applied_after_scheduling""}]"
62,"[[0, 8], [0, 8]]",latched_previous_step,6,560710.628472692,560710.628742485,"[{""engine"": 0, ""wave"": 6, ""step"": 82, ""iteration_seq"": 636, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 88, ""iteration_seq"": 620, ""branch"": ""applied_after_scheduling""}]"
63,"[[0, 9], [0, 9]]",latched_previous_step,6,560710.728147642,560710.728367052,"[{""engine"": 0, ""wave"": 6, ""step"": 98, ""iteration_seq"": 652, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 92, ""iteration_seq"": 624, ""branch"": ""applied_after_scheduling""}]"
64,"[[0, 11], [0, 9]]",latched_previous_step,6,560710.828588508,560710.82888798,"[{""engine"": 0, ""wave"": 6, ""step"": 104, ""iteration_seq"": 658, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 108, ""iteration_seq"": 640, ""branch"": ""applied_after_scheduling""}]"
65,"[[0, 10], [0, 9]]",latched_previous_step,6,560710.928505305,560710.92880872,"[{""engine"": 0, ""wave"": 6, ""step"": 109, ""iteration_seq"": 663, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 108, ""iteration_seq"": 640, ""branch"": ""applied_after_scheduling""}]"
66,"[[0, 10], [0, 10]]",latched_previous_step,6,560711.028472128,560711.028771243,"[{""engine"": 0, ""wave"": 6, ""step"": 109, ""iteration_seq"": 663, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 112, ""iteration_seq"": 644, ""branch"": ""applied_after_scheduling""}]"
67,"[[0, 8], [0, 10]]",latched_previous_step,6,560711.12839903,560711.128702506,"[{""engine"": 0, ""wave"": 6, ""step"": 129, ""iteration_seq"": 683, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 112, ""iteration_seq"": 644, ""branch"": ""applied_after_scheduling""}]"
68,"[[0, 7], [0, 10]]",current,6,560711.228633663,560711.228881472,"[{""engine"": 0, ""wave"": 6, ""step"": 131, ""iteration_seq"": 685, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 112, ""iteration_seq"": 644, ""branch"": ""applied_after_scheduling""}]"
69,"[[0, 7], [0, 9]]",latched_previous_step,6,560711.328356042,560711.328741186,"[{""engine"": 0, ""wave"": 6, ""step"": 131, ""iteration_seq"": 685, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 147, ""iteration_seq"": 679, ""branch"": ""applied_after_scheduling""}]"
70,"[[0, 6], [0, 8]]",current,6,560711.428594816,560711.428979274,"[{""engine"": 0, ""wave"": 6, ""step"": 151, ""iteration_seq"": 705, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 151, ""iteration_seq"": 683, ""branch"": ""applied_after_scheduling""}]"
71,"[[0, 4], [0, 8]]",current,6,560711.5288243,560711.529103758,"[{""engine"": 0, ""wave"": 6, ""step"": 167, ""iteration_seq"": 721, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 151, ""iteration_seq"": 683, ""branch"": ""applied_after_scheduling""}]"
72,"[[0, 4], [0, 7]]",current,6,560711.629764037,560711.630228136,"[{""engine"": 0, ""wave"": 6, ""step"": 167, ""iteration_seq"": 721, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 173, ""iteration_seq"": 705, ""branch"": ""applied_after_scheduling""}]"
73,"[[0, 4], [0, 6]]",latched_previous_step,6,560711.767480497,560711.768369846,"[{""engine"": 0, ""wave"": 6, ""step"": 167, ""iteration_seq"": 721, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 189, ""iteration_seq"": 721, ""branch"": ""applied_after_scheduling""}]"
74,"[[0, 3], [0, 6]]",latched_previous_step,6,560711.867785806,560711.86802452,"[{""engine"": 0, ""wave"": 6, ""step"": 193, ""iteration_seq"": 747, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 189, ""iteration_seq"": 721, ""branch"": ""applied_after_scheduling""}]"
75,"[[0, 2], [0, 5]]",latched_previous_step,6,560711.967810822,560711.968094509,"[{""engine"": 0, ""wave"": 6, ""step"": 201, ""iteration_seq"": 755, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 207, ""iteration_seq"": 739, ""branch"": ""applied_after_scheduling""}]"
76,"[[0, 1], [0, 5]]",current,6,560712.06801417,560712.068257391,"[{""engine"": 0, ""wave"": 6, ""step"": 209, ""iteration_seq"": 763, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 207, ""iteration_seq"": 739, ""branch"": ""applied_after_scheduling""}]"
77,"[[0, 1], [0, 4]]",current,6,560712.16886695,560712.169097571,"[{""engine"": 0, ""wave"": 6, ""step"": 209, ""iteration_seq"": 763, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 221, ""iteration_seq"": 753, ""branch"": ""applied_after_scheduling""}]"
78,"[[0, 0], [0, 4]]",current,6,560712.269163159,560712.269386529,"[{""engine"": 0, ""wave"": 6, ""step"": 229, ""iteration_seq"": 783, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 221, ""iteration_seq"": 753, ""branch"": ""applied_after_scheduling""}]"
79,"[[0, 0], [0, 3]]",current,6,560712.370007866,560712.370236301,"[{""engine"": 0, ""wave"": 6, ""step"": 229, ""iteration_seq"": 783, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 241, ""iteration_seq"": 773, ""branch"": ""applied_after_scheduling""}]"
80,"[[0, 0], [0, 2]]",current,6,560712.579916389,560712.580126766,"[{""engine"": 0, ""wave"": 6, ""step"": 229, ""iteration_seq"": 783, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 263, ""iteration_seq"": 795, ""branch"": ""applied_after_scheduling""}]"
81,"[[0, 0], [0, 1]]",current,6,560712.789147844,560712.789349144,"[{""engine"": 0, ""wave"": 6, ""step"": 229, ""iteration_seq"": 783, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 283, ""iteration_seq"": 815, ""branch"": ""applied_after_scheduling""}]"
82,"[[0, 0], [0, 0]]",current,6,560712.955088989,560712.955325707,"[{""engine"": 0, ""wave"": 6, ""step"": 229, ""iteration_seq"": 783, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 299, ""iteration_seq"": 831, ""branch"": ""applied_after_scheduling""}]"
83,"[[0, 0], [0, 0]]",current,7,560717.960091097,,"[{""engine"": 0, ""wave"": 6, ""step"": 229, ""iteration_seq"": 783, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 6, ""step"": 299, ""iteration_seq"": 831, ""branch"": ""applied_after_scheduling""}]"
