time_stats.moe_gating.min,time_stats.moe_gating.max,time_stats.moe_gating.mean,time_stats.moe_gating.median,time_stats.moe_gating.std,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,time_stats.moe_expert_up_proj.min,time_stats.moe_expert_up_proj.max,time_stats.moe_expert_up_proj.mean,time_stats.moe_expert_up_proj.median,time_stats.moe_expert_up_proj.std,time_stats.moe_expert_down_proj.min,time_stats.moe_expert_down_proj.max,time_stats.moe_expert_down_proj.mean,time_stats.moe_expert_down_proj.median,time_stats.moe_expert_down_proj.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers
0.049,0.049,0.049,0.049,0.0,0.325,0.325,0.325,0.325,0.0,11.01,11.01,11.01,11.01,0.0,0.834,0.838,0.8354999999999999,0.835,0.0013228756555322965,0.455,0.456,0.45537500000000003,0.455,0.0004841229182759276,3328,8,8,1,2,4096,14336,True,1
0.049,0.049,0.049,0.049,0.0,0.323,0.323,0.323,0.323,0.0,11.027000000000001,11.027000000000001,11.027000000000001,11.027000000000001,0.0,0.835,0.837,0.836625,0.837,0.0006959705453537533,0.454,0.458,0.45637500000000003,0.4565,0.0011110243021644497,3296,8,8,1,2,4096,14336,True,1
0.056,0.056,0.056,0.056,0.0,0.384,0.384,0.384,0.384,0.0,13.433,13.433,13.433,13.433,0.0,1.024,1.025,1.02475,1.025,0.00043301270189217164,0.556,0.558,0.5571250000000001,0.557,0.0005994789404140904,3264,8,8,1,2,4096,14336,True,1
0.047,0.047,0.047,0.047,0.0,0.316,0.316,0.316,0.316,0.0,11.132,11.132,11.132,11.132,0.0,0.849,0.85,0.849375,0.849,0.00048412291827592754,0.457,0.46,0.45787500000000003,0.458,0.0009270248108869586,3232,8,8,1,2,4096,14336,True,1
0.047,0.047,0.047,0.047,0.0,0.319,0.319,0.319,0.319,0.0,11.147,11.147,11.147,11.147,0.0,0.848,0.851,0.8498749999999999,0.85,0.0009270248108869586,0.458,0.46,0.45937500000000003,0.4595,0.0006959705453537534,3200,8,8,1,2,4096,14336,True,1
0.048,0.048,0.048,0.048,0.0,0.316,0.316,0.316,0.316,0.0,10.966000000000001,10.966000000000001,10.966000000000001,10.966000000000001,0.0,0.833,0.833,0.833,0.833,0.0,0.454,0.455,0.45425000000000004,0.454,0.0004330127018922197,3168,8,8,1,2,4096,14336,True,1
0.056,0.056,0.056,0.056,0.0,0.375,0.375,0.375,0.375,0.0,13.526,13.526,13.526,13.526,0.0,1.034,1.036,1.034875,1.035,0.0007806247497997938,0.56,0.561,0.5605,0.5605,0.0005000000000000004,3136,8,8,1,2,4096,14336,True,1
0.044,0.044,0.044,0.044,0.0,0.311,0.311,0.311,0.311,0.0,10.957,10.957,10.957,10.957,0.0,0.833,0.834,0.8331249999999999,0.833,0.0003307189138830741,0.453,0.455,0.45375,0.454,0.0006614378277661482,3104,8,8,1,2,4096,14336,True,1
0.044,0.044,0.044,0.044,0.0,0.307,0.307,0.307,0.307,0.0,9.051,9.051,9.051,9.051,0.0,0.7010000000000001,0.705,0.7023750000000001,0.7025000000000001,0.001316956719106566,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.0,3072,8,8,1,2,4096,14336,True,1
0.044,0.044,0.044,0.044,0.0,0.307,0.307,0.307,0.307,0.0,9.135,9.135,9.135,9.135,0.0,0.711,0.714,0.7128749999999999,0.713,0.0009270248108869586,0.34500000000000003,0.34800000000000003,0.34750000000000003,0.34800000000000003,0.0010000000000000009,3040,8,8,1,2,4096,14336,True,1
0.055,0.055,0.055,0.055,0.0,0.362,0.362,0.362,0.362,0.0,10.864,10.864,10.864,10.864,0.0,0.841,0.841,0.841,0.841,0.0,0.426,0.427,0.426125,0.426,0.0003307189138830741,3008,8,8,1,2,4096,14336,True,1
0.044,0.044,0.044,0.044,0.0,0.3,0.3,0.3,0.3,0.0,9.099,9.099,9.099,9.099,0.0,0.709,0.712,0.711125,0.7115,0.0010532687216470457,0.34600000000000003,0.34700000000000003,0.34675,0.34700000000000003,0.0004330127018922197,2976,8,8,1,2,4096,14336,True,1
0.044,0.044,0.044,0.044,0.0,0.3,0.3,0.3,0.3,0.0,9.102,9.102,9.102,9.102,0.0,0.71,0.712,0.7108749999999999,0.711,0.0005994789404140904,0.34700000000000003,0.34800000000000003,0.3476250000000001,0.34800000000000003,0.00048412291827592754,2944,8,8,1,2,4096,14336,True,1
0.045,0.045,0.045,0.045,0.0,0.301,0.301,0.301,0.301,0.0,9.005,9.005,9.005,9.005,0.0,0.6990000000000001,0.7020000000000001,0.7003750000000001,0.7000000000000001,0.0011110243021644494,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.0,2912,8,8,1,2,4096,14336,True,1
0.053,0.053,0.053,0.053,0.0,0.352,0.352,0.352,0.352,0.0,10.844,10.844,10.844,10.844,0.0,0.84,0.841,0.840625,0.841,0.00048412291827592754,0.425,0.426,0.42574999999999996,0.426,0.0004330127018922197,2880,8,8,1,2,4096,14336,True,1
0.044,0.044,0.044,0.044,0.0,0.296,0.296,0.296,0.296,0.0,8.987,8.987,8.987,8.987,0.0,0.6950000000000001,0.7000000000000001,0.6981250000000001,0.6980000000000001,0.0015360257159305647,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.0,2848,8,8,1,2,4096,14336,True,1
0.043000000000000003,0.043000000000000003,0.043000000000000003,0.043000000000000003,0.0,0.293,0.293,0.293,0.293,0.0,8.933,8.933,8.933,8.933,0.0,0.6920000000000001,0.6950000000000001,0.693125,0.6930000000000001,0.001165922381636103,0.34600000000000003,0.34700000000000003,0.34625000000000006,0.34600000000000003,0.0004330127018922197,2816,8,8,1,2,4096,14336,True,1
0.044,0.044,0.044,0.044,0.0,0.292,0.292,0.292,0.292,0.0,8.999,8.999,8.999,8.999,0.0,0.7010000000000001,0.7030000000000001,0.7017500000000001,0.7020000000000001,0.0006614378277661482,0.34600000000000003,0.34600000000000003,0.34600000000000003,0.34600000000000003,0.0,2784,8,8,1,2,4096,14336,True,1
0.053,0.053,0.053,0.053,0.0,0.341,0.341,0.341,0.341,0.0,10.817,10.817,10.817,10.817,0.0,0.839,0.84,0.8394999999999999,0.8394999999999999,0.0005000000000000004,0.425,0.426,0.42525,0.425,0.0004330127018922197,2752,8,8,1,2,4096,14336,True,1
