time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_up_proj.count,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_act.count,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.mlp_down_proj.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
,,,,,,,,,,,,0.020927,0.021888,0.0212511,0.021216,0.0002383209810318,20,0.003392,0.00368,0.0034751499999999,0.0034555,7.464936369454202e-05,20,0.008608,0.009408,0.0088751,0.0088165,0.0002389349074538,20,,,,,,,0.034719,0.036063,0.0353788499999999,0.035328,0.000389309423852,20,0.003616,0.003904,0.00371035,0.00368,9.191641583525752e-05,20,0.017983,0.0190399999999999,0.01839685,0.018288,0.0003360332238038,20,32,32,4096,11008,32000,True,False,False,32,2,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
,,,,,,,,,,,,0.020959,0.021952,0.02129255,0.021216,0.0002553921445542,20,0.003296,0.0038079999999999,0.00351995,0.0034875,0.0001394623515505,20,0.00864,0.00928,0.0088753,0.008865,0.0001594907834327,20,,,,,,,0.03408,0.035392,0.0346046,0.0345435,0.0003593525288626,20,0.00352,0.004128,0.00368475,0.0036475,0.0001481188289853,20,0.0204479999999999,0.021504,0.02090725,0.0208159999999999,0.0003347812532087,20,32,32,4096,11008,32000,True,False,False,16,2,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
,,,,,,,,,,,,0.020224,0.021377,0.020712,0.0205755,0.0003763958023145,20,0.003296,0.0038079999999999,0.0035120499999999,0.00352,0.0001423040670536,20,0.00816,0.008928,0.008315,0.0082875,0.0001654496902384,20,,,,,,,0.0339519999999999,0.035264,0.0342766,0.034224,0.0003142965796823,20,0.003488,0.0038079999999999,0.00365765,0.0036635,8.714027484464336e-05,20,0.020032,0.020352,0.0201984,0.020176,9.693317285635349e-05,20,32,32,4096,11008,32000,True,False,False,8,2,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
,,,,,,,,,,,,0.020127,0.021248,0.02052795,0.020496,0.0002926215089497,20,0.003231,0.00368,0.0034527,0.003456,0.0001512151116786,20,0.008224,0.008832,0.0083953,0.0083995,0.0001276393748026,20,,,,,,,0.033408,0.034816,0.0340815,0.0340315,0.0004216324821452,20,0.00336,0.003776,0.003544,0.003552,0.0001175355265441,20,0.019744,0.02096,0.02001755,0.019936,0.0002759348609726,20,32,32,4096,11008,32000,True,False,False,4,2,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
,,,,,,,,,,,,0.020063,0.021088,0.02040925,0.0202395,0.0003359376244185,20,0.003232,0.003648,0.0033856,0.003408,0.0001245822619797,20,0.008096,0.0086389999999999,0.0083008,0.0082725,0.0001227271771043,20,,,,,,,0.0333759999999999,0.034591,0.03373905,0.033664,0.0003490645319994,20,0.003424,0.003648,0.0035247999999999,0.00352,6.34433605667292e-05,20,0.0196469999999999,0.020639,0.01991505,0.019872,0.0002333061240087,20,32,32,4096,11008,32000,True,False,False,2,2,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
,,,,,,,,,,,,0.019999,0.021024,0.0203790999999999,0.020272,0.0003165441359431,20,0.003008,0.003488,0.0032992,0.00328,0.000136103490036,20,0.007807,0.008608,0.0080959,0.0080805,0.0001869858016,20,,,,,,,0.033216,0.034208,0.0336959499999999,0.033648,0.0002468749632911,20,0.003232,0.00352,0.00341275,0.00344,9.82974440156e-05,20,0.01952,0.020704,0.0198397499999999,0.0197755,0.0002782178777505,20,32,32,4096,11008,32000,True,False,False,1,2,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
,,,,,,,,,,,,0.012319,0.013568,0.0126062,0.01248,0.000331199426328,20,0.0028799999999999,0.00336,0.0031327999999999,0.003104,0.0001637637322486,20,0.006336,0.006976,0.0065167,0.00648,0.000149142918035,20,,,,,,,0.019072,0.020032,0.0194207499999999,0.01936,0.000251674566653,20,0.002751,0.002912,0.0028288,0.002816,4.460896770829826e-05,20,0.010976,0.01184,0.01117595,0.01112,0.0002103201072175,20,32,32,4096,11008,32000,True,False,False,128,4,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
,,,,,,,,,,,,0.012,0.0127029999999999,0.01227835,0.012224,0.0001807272184813,20,0.00272,0.003136,0.0029007499999999,0.0028799999999999,0.0001244953312377,20,0.005856,0.006175,0.0060159,0.006016,9.04222870756984e-05,20,,,,,,,0.018303,0.019232,0.0186766,0.0186235,0.0002605928625269,20,0.002688,0.002944,0.0027488499999999,0.00272,5.342403485323804e-05,20,0.010815,0.011521,0.0110386,0.0109924999999999,0.0001768661640902,20,32,32,4096,11008,32000,True,False,False,64,4,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
,,,,,,,,,,,,0.014848,0.015872,0.0151758,0.015136,0.0002266355223701,20,0.002624,0.002944,0.00277285,0.002784,8.83115366189491e-05,20,0.005792,0.006656,0.00597125,0.005952,0.0001774505212728,20,,,,,,,0.019008,0.02,0.019531,0.0196155,0.0002767020057751,20,0.002656,0.002976,0.00272325,0.0026885,7.287720837134184e-05,20,0.010432,0.010784,0.01056955,0.010496,0.0001186534765609,20,32,32,4096,11008,32000,True,False,False,32,4,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
,,,,,,,,,,,,0.014335,0.015328,0.0147295999999999,0.014656,0.0002772221852594,20,0.002528,0.002944,0.00266565,0.00264,0.0001188870367197,20,0.005664,0.00592,0.0058145,0.005824,5.980928021636773e-05,20,,,,,,,0.018241,0.019904,0.01905105,0.019167,0.0004553151079197,20,0.002592,0.0027519999999999,0.0026655499999999,0.002656,5.5498175645691184e-05,20,0.01024,0.011072,0.01044475,0.010416,0.0002021506554528,20,32,32,4096,11008,32000,True,False,False,16,4,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
,,,,,,,,,,,,0.014111,0.015072,0.01427175,0.014192,0.0002386834462211,20,0.002496,0.002911,0.0026608,0.0026725,0.0001022128172001,20,0.005472,0.005727,0.0055823,0.0055995,7.585650927903294e-05,20,,,,,,,0.0180159999999999,0.019392,0.0185103499999999,0.0185439999999999,0.0003087973890757,20,0.002463,0.0028799999999999,0.0026463,0.002688,0.0001236855286603,20,0.010016,0.010464,0.0102142,0.0101755,0.0001382413107576,20,32,32,4096,11008,32000,True,False,False,8,4,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
