time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,attention_backend,prefill_seq_lens,prefill_kv_cache_sizes,decode_kv_cache_sizes,num_prefill_seqs,num_decode_seqs,decode_batch_size,total_batch_size,total_prefill_tokens,total_decode_tokens,total_tokens,decode_avg_kv_cache_size,batch_composition_ratio,mode,is_true_mixed_batch,is_mixed_batch,is_prefill,batch_size,prefill_chunk_size,kv_cache_size,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,profiling_precision,measurement_type,model_arch,model_architecture_profile,quant_signature
0.004360000137239695,0.007000000216066837,0.0049600000493228436,0.004480000119656324,0.0010213717081229187,5,0.018400000408291817,0.0414000004529953,0.02324800007045269,0.0188400000333786,0.009077987625077721,5,5.365289211273193,5.390129089355469,5.373777103424072,5.373128890991211,0.008790530150117529,5,0.1453610062599182,0.1462409943342209,0.14593639969825745,0.14608000218868256,0.00033697620254034453,5,0.00443999981507659,0.004559999797493219,0.004471999872475862,0.00443999981507659,4.664761897177434e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[4096, 4096, 4096, 4096]",1,4,4,5,8192,4,8196,4096,0.2,true_mixed,True,False,True,5,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004360000137239695,0.005880000069737434,0.004888000059872865,0.004519999958574772,0.0005983444109864429,5,0.018200000748038292,0.08312000334262848,0.032096000760793685,0.01892000064253807,0.025537043862783777,5,5.3785319328308105,5.43909215927124,5.402396392822266,5.395133018493652,0.020132952716624714,5,0.07664000242948532,0.08320000022649765,0.07868800014257431,0.07707999646663666,0.002502530061719998,5,0.004360000137239695,0.007160000037401915,0.004984000045806169,0.004480000119656324,0.0010894695899541526,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1,32,32,33,8192,32,8224,1024,0.030303030303030304,true_mixed,True,False,True,33,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004399999976158142,0.014480000361800194,0.006439999956637621,0.00443999981507659,0.004020030052974804,5,0.01775999926030636,0.071881003677845,0.028856200724840166,0.018360000103712082,0.021513717888220367,5,5.384611129760742,5.458291053771973,5.4095789909362795,5.403010845184326,0.025312959439921533,5,0.12284000217914581,0.12411999702453613,0.12340839952230453,0.12336000055074692,0.0004159524449847787,5,0.004279999993741512,0.004559999797493219,0.004383999947458505,0.004360000137239695,9.66643099479158e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[3072, 3072, 3072, 3072, 3072, 3072, 3072, 3072]",1,8,8,9,8192,8,8200,3072,0.1111111111111111,true_mixed,True,False,True,9,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004360000137239695,0.004480000119656324,0.004440000001341105,0.00443999981507659,4.381779818013822e-05,5,0.018640000373125076,0.09111999720335007,0.03353619948029518,0.01931999996304512,0.028793396328054062,5,5.37637186050415,5.478772163391113,5.413876247406006,5.4059319496154785,0.03697694213220727,5,0.11767999827861786,0.1199209988117218,0.11848819851875306,0.11847999691963196,0.0007908659585453573,5,0.004399999976158142,0.00535999983549118,0.00459199994802475,0.004399999976158142,0.0003839999437332153,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1,48,48,49,8192,48,8240,1024,0.02040816326530612,true_mixed,True,False,True,49,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004360000137239695,0.007079999893903732,0.00494399992749095,0.00443999981507659,0.0010684118854829715,5,0.018319999799132347,0.09027999639511108,0.033007999137043956,0.0188400000333786,0.02863704205191461,5,5.371294021606445,5.387773036956787,5.382301616668701,5.383573055267334,0.005767382077987307,5,0.15263999998569489,0.15488100051879883,0.1535443991422653,0.1531600058078766,0.0007841097201952708,5,0.004399999976158142,0.004480000119656324,0.004440000001341105,0.00443999981507659,3.5777151814455904e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]",1,8,8,9,8192,8,8200,4096,0.1111111111111111,true_mixed,True,False,True,9,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004360000137239695,0.009399999864399433,0.00540799992159009,0.00443999981507659,0.001996220398342797,5,0.018039999529719353,0.02548000030219555,0.019919999688863755,0.018719999119639397,0.0027943947098697996,5,5.3297319412231445,5.398252010345459,5.350052165985107,5.335972785949707,0.025228405302504118,5,0.047359999269247055,0.04836000129580498,0.04773619994521141,0.04772099852561951,0.0003618535281308656,5,0.004399999976158142,0.004519999958574772,0.004431999940425158,0.004399999976158142,4.6647602999600904e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],[512],1,1,1,2,8192,1,8193,512,0.5,true_mixed,True,False,True,2,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004399999976158142,0.004480000119656324,0.004431999940425158,0.00443999981507659,2.9933287895859092e-05,5,0.018279999494552612,0.030959999188780785,0.021055999770760538,0.018360000103712082,0.004970157081813444,5,5.394652843475342,5.440092086791992,5.407164764404297,5.3993730545043945,0.016937528676228598,5,0.1368809938430786,0.13787999749183655,0.13742439746856688,0.1374800056219101,0.0003425994706057497,5,0.004399999976158142,0.004480000119656324,0.004423999972641468,0.004399999976158142,3.200003411633561e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[3072, 3072, 3072, 3072, 3072, 3072, 3072, 3072, 3072, 3072, 3072, 3072, 3072, 3072, 3072, 3072]",1,16,16,17,8192,16,8208,3072,0.058823529411764705,true_mixed,True,False,True,17,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.00443999981507659,0.005840000230818987,0.004736000020056963,0.004480000119656324,0.0005522898887486015,5,0.018400000408291817,0.06892000138759613,0.029176000505685806,0.018880000337958336,0.019896301210976266,5,5.381969928741455,5.585330009460449,5.430977916717529,5.39640998840332,0.07741724518128987,5,0.1265600025653839,0.13067999482154846,0.1277202010154724,0.12700000405311584,0.0015061446339850583,5,0.004360000137239695,0.005679999943822622,0.004688000027090311,0.004480000119656324,0.0004979316801897372,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1,64,64,65,8192,64,8256,1024,0.015384615384615385,true_mixed,True,False,True,65,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004399999976158142,0.00559999980032444,0.0046639999374747275,0.00443999981507659,0.00046893916240736043,5,0.01844000071287155,0.06992000341415405,0.029448000714182854,0.01916000060737133,0.020260566380306082,5,5.369812965393066,5.398172855377197,5.3887168884277346,5.392932891845703,0.010536762595277551,5,0.1693599969148636,0.17080099880695343,0.17005639672279357,0.17015999555587769,0.0006052599622403112,5,0.004399999976158142,0.004480000119656324,0.004439999908208847,0.00443999981507659,2.529826665971379e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]",1,16,16,17,8192,16,8208,4096,0.058823529411764705,true_mixed,True,False,True,17,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004279999993741512,0.004720000084489584,0.00447199996560812,0.00443999981507659,0.00014176041047829583,5,0.017839999869465828,0.031199999153614044,0.021911999955773354,0.019039999693632126,0.005034816032515384,5,5.323892116546631,5.3928117752075195,5.348203945159912,5.330691814422607,0.02642511040608993,5,0.04755999892950058,0.048920001834630966,0.04844020009040832,0.04868000000715256,0.000516496688943685,5,0.004360000137239695,0.004480000119656324,0.004448000062257052,0.004480000119656324,4.664761897177434e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[512, 512]",1,2,2,3,8192,2,8194,512,0.3333333333333333,true_mixed,True,False,True,3,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
