client_request_id,server_request_id,server_ttft_ms,client_ttft_ms,server_arrival_wall_s,queue_arrival_monotonic_s,frontier_request_id,arrived_at
pf4096_dc1024:31,cmpl-pf4096_dc1024:31-0,91.23706817626953,94.709738,1788802434.1866019,3550753.509995998,31,17.1483171810396
pf4096_dc1024:32,cmpl-pf4096_dc1024:32-0,139.15610313415527,143.040791,1788802436.0091012,3550755.378193246,32,19.016514429356903
pf4096_dc1024:33,cmpl-pf4096_dc1024:33-0,129.24909591674805,132.599929,1788802436.7026882,3550756.062590343,33,19.700911526102573
pf4096_dc1024:34,cmpl-pf4096_dc1024:34-0,106.52947425842285,110.531745,1788802437.082047,3550756.418418198,34,20.05673938104883
pf4096_dc1024:35,cmpl-pf4096_dc1024:35-0,114.89987373352051,118.29544,1788802437.2897837,3550756.63544296,35,20.273764143232256
pf4096_dc1024:36,cmpl-pf4096_dc1024:36-0,144.60206031799316,149.255812,1788802438.17447,3550757.546758176,36,21.185079358983785
pf4096_dc1024:37,cmpl-pf4096_dc1024:37-0,158.2193374633789,161.899765,1788802438.3870578,3550757.764370556,37,21.402691739145666
pf4096_dc1024:38,cmpl-pf4096_dc1024:38-0,97.49984741210938,101.278026,1788802438.4465973,3550757.76458816,38,21.402909343130887
pf4096_dc1024:39,cmpl-pf4096_dc1024:39-0,85.22987365722656,88.589773,1788802438.5351565,3550757.850816631,39,21.48913781438023
pf4096_dc1024:40,cmpl-pf4096_dc1024:40-0,102.4179458618164,105.936704,1788802438.6620362,3550757.994926405,40,21.63324758829549
pf4096_dc1024:42,cmpl-pf4096_dc1024:42-0,131.9570541381836,136.855179,1788802438.8586974,3550758.210088269,41,21.848409452009946
pf4096_dc1024:41,cmpl-pf4096_dc1024:41-0,150.85983276367188,155.466688,1788802438.839456,3550758.210290853,42,21.848612036090344
pf4096_dc1024:43,cmpl-pf4096_dc1024:43-0,86.6539478302002,90.627679,1788802439.0503964,3550758.367030256,43,22.005351439118385
pf4096_dc1024:44,cmpl-pf4096_dc1024:44-0,137.18318939208984,142.603363,1788802440.4521186,3550759.819192437,44,23.45751362014562
pf4096_dc1024:45,cmpl-pf4096_dc1024:45-0,106.1544418334961,109.55119,1788802440.6277118,3550759.963877611,45,23.602198794018477
pf4096_dc1024:46,cmpl-pf4096_dc1024:46-0,138.26298713684082,142.216727,1788802440.9489686,3550760.316933354,46,23.955254537053406
pf4096_dc1024:47,cmpl-pf4096_dc1024:47-0,92.8044319152832,97.288567,1788802441.555685,3550760.877120652,47,24.515441834926605
pf4096_dc1024:48,cmpl-pf4096_dc1024:48-0,92.19074249267578,96.406186,1788802442.5976372,3550761.918519296,48,25.556840479373932
pf4096_dc1024:49,cmpl-pf4096_dc1024:49-0,86.68375015258789,91.213423,1788802443.0228422,3550762.341027279,49,25.979348462074995
pf4096_dc1024:50,cmpl-pf4096_dc1024:50-0,103.82390022277832,108.172804,1788802443.4276752,3550762.761566812,50,26.399887995328754
pf4096_dc1024:51,cmpl-pf4096_dc1024:51-0,94.34795379638672,98.370711,1788802443.789656,3550763.115259714,51,26.75358089711517
pf4096_dc1024:52,cmpl-pf4096_dc1024:52-0,80.40976524353027,84.992378,1788802444.2317612,3550763.540567241,52,27.178888424299657
