time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
,,,,,,,,,,,,0.014367,0.01488,0.01466215,0.0146875,0.0001634561944375,20,0.002367,0.002592,0.0024863,0.002512,8.412615526695618e-05,20,0.005247,0.005312,0.00529115,0.0052805,2.0952983081175156e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,4,2,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.0144,0.014752,0.0145343,0.014528,8.717344779231816e-05,20,0.002303,0.002656,0.0024832,0.002496,0.000117409795162,20,0.005152,0.005344,0.0052302999999999,0.005216,5.119873045301037e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,2,2,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.008992,0.00944,0.0092384,0.009232,0.0001377110743549,20,0.0022719999999999,0.002528,0.0024175,0.0024475,9.247405041415672e-05,20,0.005151,0.005312,0.0052510499999999,0.0052635,4.853501313484946e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,1,2,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.016,0.016833,0.0164257,0.016448,0.0002646764250929,20,0.002464,0.002528,0.002504,0.002496,1.9919839356781918e-05,20,0.00448,0.004737,0.0045696,0.0045439999999999,6.619320206788614e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,128,4,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.015647,0.016224,0.0159377,0.0159675,0.0001690370077823,20,0.0022719999999999,0.002369,0.0023280499999999,0.002336,3.021336624740786e-05,20,0.004129,0.004256,0.00421135,0.004224,3.083062600726757e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,64,4,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.015008,0.015712,0.01533085,0.015376,0.0002196620756981,20,0.002303,0.002368,0.0023279,0.002336,1.988190131752995e-05,20,0.004032,0.004128,0.00408965,0.004096,3.42903412056517e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,32,4,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.015039,0.015743,0.01530215,0.0152155,0.0002477244991921,20,0.0022719999999999,0.002336,0.0023007999999999,0.002304,1.998399359487497e-05,20,0.003967,0.004096,0.0040079999999999,0.004,3.9029476040551605e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,16,4,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.014815,0.015361,0.0150783,0.015088,0.0002162498786126,20,0.002112,0.002336,0.00220485,0.0021925,9.373861264174964e-05,20,0.003967,0.004097,0.0040383999999999,0.0040479999999999,3.309441040417551e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,8,4,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.014687,0.015008,0.014832,0.0148315,9.90540256627666e-05,20,0.002016,0.00224,0.00211845,0.002112,9.78332637705603e-05,20,0.003872,0.004064,0.00397755,0.0039845,5.907408484267865e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,4,4,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.013889,0.014144,0.0140478999999999,0.014048,7.070141441300872e-05,20,0.002048,0.0022719999999999,0.00215345,0.002144,9.097058590555524e-05,20,0.003872,0.003968,0.00392815,0.003936,2.9977116272250137e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,2,4,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.008768,0.00928,0.00906065,0.009103,0.000158112072594,20,0.001985,0.00224,0.0021120999999999,0.002112,9.491095827142422e-05,20,0.003872,0.004032,0.0039457,0.003936,4.4023970743221255e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,1,4,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.015648,0.016352,0.01599045,0.016032,0.0002791627616642,20,0.0022719999999999,0.0024,0.0023536,0.002368,3.714619765198042e-05,20,0.003616,0.003776,0.00371355,0.003712,4.1115051988292505e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,128,8,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.015329,0.016,0.01567185,0.015664,0.0002549569130264,20,0.002176,0.0022719999999999,0.00224,0.00224,2.856746401065356e-05,20,0.003457,0.003584,0.0035264,0.00352,3.285026636117272e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,64,8,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.014976,0.015615,0.0152926999999999,0.015295,0.0002626800525353,20,0.002208,0.002305,0.0022495999999999,0.00224,3.381035344387853e-05,20,0.00336,0.003487,0.0034127,0.003424,4.199535688620818e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,32,8,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.014592,0.014976,0.01479195,0.014784,9.207577042849e-05,20,0.00208,0.0022719999999999,0.0021872,0.002176,5.084348532506395e-05,20,0.003264,0.003392,0.00332155,0.003328,2.966559454991596e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,16,8,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.0143989999999999,0.014689,0.0145372499999999,0.0145285,8.287875180044666e-05,20,0.001952,0.00224,0.0020976,0.002112,9.625299995324832e-05,20,0.003328,0.0033929999999999,0.0033728,0.0033605,1.8664404624846703e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,8,8,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.014336,0.014623,0.0144653499999999,0.0144485,7.575900936522342e-05,20,0.001856,0.002112,0.00198085,0.0019845,9.210280940340532e-05,20,0.003264,0.003392,0.00333915,0.0033439999999999,4.550964183554956e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,4,8,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.013824,0.014079,0.0139632,0.0139675,7.237375214813728e-05,20,0.001888,0.002112,0.00200805,0.0019845,9.58876816906114e-05,20,0.003232,0.0033929999999999,0.0033248,0.003328,4.8557800609170976e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,2,8,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.008864,0.009312,0.00909755,0.0091035,0.0001540449528546,20,0.001888,0.002144,0.00200955,0.002016,9.58334362318289e-05,20,0.003232,0.0033929999999999,0.0033056999999999,0.003296,5.6473976307676433e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,1,8,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
