time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,time_stats.add.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
,,,,,,,,,,,,,,,,,,0.0069759999999999,0.0071679999999999,0.0070607999999999,0.0070399999999999,5.559640276132967e-05,20,0.001919,0.002176,0.0020415,0.002048,0.0001015379239496,20,0.003328,0.003456,0.0033888,0.003392,3.340898082851375e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,8,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0070399999999999,0.0072,0.0070974,0.0070719999999999,5.29286311933344e-05,20,0.001888,0.002144,0.0020208,0.002016,9.399234011343698e-05,20,0.003328,0.003424,0.00337125,0.003392,2.9145968846480364e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,4,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0069439999999999,0.0071039999999999,0.0070112,0.0070079999999999,4.61243970150287e-05,20,0.00192,0.002144,0.0020304,0.0020315,9.56197678307159e-05,20,0.00336,0.003456,0.0034015499999999,0.003392,2.2874603821705792e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,2,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0069119999999999,0.007105,0.0069938,0.006992,6.844749812812739e-05,20,0.001824,0.00208,0.00195685,0.0019525,9.006068787212314e-05,20,0.003391,0.003488,0.0034303,0.003424,2.7978741930258385e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,1,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.008319,0.008448,0.00836805,0.008352,3.859854271860506e-05,20,0.002271,0.002368,0.0023152,0.0023045,2.916607618449903e-05,20,0.00368,0.003936,0.0038063,0.0038075,8.000318743650153e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,128,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007456,0.0076159999999999,0.0075296,0.00752,4.048752894410809e-05,20,0.002176,0.0022719999999999,0.00222235,0.002208,2.1441256959422788e-05,20,0.003136,0.003232,0.0031808,0.003168,2.752744085453633e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,64,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007424,0.007552,0.00749125,0.007488,3.472301110214939e-05,20,0.002079,0.002336,0.00219355,0.002192,7.811304308500592e-05,20,0.003072,0.003169,0.0031265,0.003136,3.2192390405187405e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,32,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0073279999999999,0.007488,0.0074145,0.007424,4.070933553866989e-05,20,0.002144,0.0022719999999999,0.0022112,0.002224,4.159999999999986e-05,20,0.002975,0.003072,0.0030271,0.0030235,2.956163053689691e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,16,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.00688,0.0071039999999999,0.0070047,0.007024,6.300960244280223e-05,20,0.001952,0.002176,0.0020656,0.002064,9.245452936443956e-05,20,0.002976,0.003104,0.00303515,0.00304,4.8848004053389965e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,8,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0070079999999999,0.0071359999999999,0.0070704999999999,0.007072,4.6865232315651565e-05,20,0.001888,0.002112,0.00200005,0.002,0.0001003755323771,20,0.002944,0.00304,0.0029983,0.003008,2.7048290149286788e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,4,8,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
