client_request_id,server_request_id,server_ttft_ms,client_ttft_ms,server_arrival_wall_s,queue_arrival_monotonic_s,frontier_request_id,arrived_at
pf4096_dc1024:15,cmpl-pf4096_dc1024:15-0,150.01773834228516,152.79094,1788844401.4375286,3455723.80008783,15,9.09218275686726
pf4096_dc1024:17,cmpl-pf4096_dc1024:17-0,117.28143692016602,120.841496,1788844401.6357324,3455723.963086263,16,9.255181189626455
pf4096_dc1024:16,cmpl-pf4096_dc1024:16-0,159.4676971435547,162.552689,1788844401.5934186,3455723.96328396,17,9.255378886591643
pf4096_dc1024:18,cmpl-pf4096_dc1024:18-0,157.15599060058594,163.320543,1788844402.295135,3455724.66636012,18,9.958455046638846
pf4096_dc1024:19,cmpl-pf4096_dc1024:19-0,95.84259986877441,99.405249,1788844403.4566693,3455725.765720033,19,11.057814959902316
pf4096_dc1024:20,cmpl-pf4096_dc1024:20-0,141.96276664733887,144.660357,1788844403.4948447,3455725.850934723,20,11.143029649741948
pf4096_dc1024:21,cmpl-pf4096_dc1024:21-0,142.33732223510742,145.863629,1788844403.65668,3455726.012789242,21,11.304884168785065
pf4096_dc1024:22,cmpl-pf4096_dc1024:22-0,132.9813003540039,135.737597,1788844403.7516992,3455726.097411004,22,11.389505930710584
pf4096_dc1024:23,cmpl-pf4096_dc1024:23-0,114.95757102966309,118.042208,1788844404.642226,3455726.968853853,23,12.26094877999276
pf4096_dc1024:24,cmpl-pf4096_dc1024:24-0,122.38764762878418,125.645954,1788844404.797508,3455727.133414944,24,12.42550987098366
pf4096_dc1024:26,cmpl-pf4096_dc1024:26-0,96.89927101135254,100.725358,1788844406.6214972,3455728.928642263,25,14.220737189985812
pf4096_dc1024:25,cmpl-pf4096_dc1024:25-0,160.50362586975098,164.753207,1788844406.5580711,3455728.928826322,26,14.220921248663217
pf4096_dc1024:27,cmpl-pf4096_dc1024:27-0,149.6281623840332,153.114437,1788844407.5920348,3455729.954577276,27,15.246672202832997
pf4096_dc1024:28,cmpl-pf4096_dc1024:28-0,96.73595428466797,100.072599,1788844408.5079496,3455730.817275996,28,16.10937092266977
pf4096_dc1024:29,cmpl-pf4096_dc1024:29-0,93.51754188537598,96.733452,1788844408.6761036,3455730.981927647,29,16.27402257360518
pf4096_dc1024:30,cmpl-pf4096_dc1024:30-0,161.70573234558105,168.395588,1788844409.3976445,3455731.773129761,30,17.065224688034505
pf4096_dc1024:31,cmpl-pf4096_dc1024:31-0,114.15743827819824,117.277906,1788844409.53182,3455731.857687919,31,17.14978284575045
pf4096_dc1024:32,cmpl-pf4096_dc1024:32-0,159.30867195129395,164.460219,1788844411.3551319,3455733.728116391,32,19.02021131804213
pf4096_dc1024:33,cmpl-pf4096_dc1024:33-0,99.43509101867676,103.271459,1788844412.0483768,3455734.360722227,33,19.652817153837532
pf4096_dc1024:34,cmpl-pf4096_dc1024:34-0,118.07990074157715,121.721153,1788844412.4257417,3455734.757582582,34,20.04967750888318
pf4096_dc1024:35,cmpl-pf4096_dc1024:35-0,149.07097816467285,152.56596,1788844412.6353085,3455734.997421694,35,20.289516620803624
pf4096_dc1024:36,cmpl-pf4096_dc1024:36-0,135.89096069335938,139.507058,1788844413.5190077,3455735.8679006,36,21.159995527006686
pf4096_dc1024:37,cmpl-pf4096_dc1024:37-0,88.21892738342285,92.385412,1788844413.7316277,3455736.031937082,37,21.32403200864792
