client_request_id,server_request_id,server_ttft_ms,client_ttft_ms,server_arrival_wall_s,queue_arrival_monotonic_s,frontier_request_id,arrived_at
pf4096_dc1024:67,cmpl-pf4096_dc1024:67-0,153.1999111175537,160.154037,1788828836.0370402,13563948.618847786,67,31.996069038286805
pf4096_dc1024:68,cmpl-pf4096_dc1024:68-0,114.90941047668457,122.144552,1788828836.9291654,13563949.471116982,68,32.84833823516965
pf4096_dc1024:69,cmpl-pf4096_dc1024:69-0,117.05446243286133,124.576139,1788828838.3295672,13563950.874967324,69,34.25218857638538
pf4096_dc1024:70,cmpl-pf4096_dc1024:70-0,141.77942276000977,149.504552,1788828838.622091,13563951.1907429,70,34.5679641533643
pf4096_dc1024:71,cmpl-pf4096_dc1024:71-0,201.25079154968262,209.811568,1788828838.6928413,13563951.27473424,71,34.651955492794514
pf4096_dc1024:73,cmpl-pf4096_dc1024:73-0,170.0608730316162,176.949861,1788828838.7240312,13563951.274741905,72,34.6519631575793
pf4096_dc1024:72,cmpl-pf4096_dc1024:72-0,182.0700168609619,190.904199,1788828838.7114303,13563951.274923598,73,34.65214485116303
pf4096_dc1024:74,cmpl-pf4096_dc1024:74-0,132.55715370178223,138.061237,1788828839.0030103,13563951.561208852,74,34.93843010440469
pf4096_dc1024:76,cmpl-pf4096_dc1024:76-0,102.78511047363281,114.086225,1788828839.4379394,13563951.96044255,75,35.3376638032496
pf4096_dc1024:75,cmpl-pf4096_dc1024:75-0,157.43517875671387,165.575738,1788828839.3826976,13563951.960594447,76,35.33781570009887
pf4096_dc1024:77,cmpl-pf4096_dc1024:77-0,155.9278964996338,165.071574,1788828841.7902234,13563954.373588668,77,37.750809920951724
pf4096_dc1024:78,cmpl-pf4096_dc1024:78-0,88.26112747192383,94.273285,1788828842.486233,13563955.000166709,78,38.37738796137273
pf4096_dc1024:79,cmpl-pf4096_dc1024:79-0,116.82367324829102,124.190987,1788828842.9271064,13563955.470726047,79,38.84794729948044
pf4096_dc1024:80,cmpl-pf4096_dc1024:80-0,105.0572395324707,110.776291,1788828843.9536524,13563956.484527294,80,39.86174854636192
pf4096_dc1024:81,cmpl-pf4096_dc1024:81-0,120.98860740661621,126.761572,1788828844.7197158,13563957.268898964,81,40.646120216697454
pf4096_dc1024:82,cmpl-pf4096_dc1024:82-0,89.82229232788086,97.891309,1788828844.8368683,13563957.352661883,82,40.72988313622773
pf4096_dc1024:84,cmpl-pf4096_dc1024:84-0,122.99203872680664,129.703468,1788828844.895406,13563957.436907873,83,40.81412912532687
pf4096_dc1024:83,cmpl-pf4096_dc1024:83-0,125.97823143005371,132.53403,1788828844.8947709,13563957.437036218,84,40.81425747089088
pf4096_dc1024:85,cmpl-pf4096_dc1024:85-0,182.2972297668457,187.246705,1788828844.9250963,13563957.530532176,85,40.907753428444266
pf4096_dc1024:86,cmpl-pf4096_dc1024:86-0,126.74474716186523,136.178673,1788828845.2178156,13563957.773137867,86,41.150359120219946
pf4096_dc1024:87,cmpl-pf4096_dc1024:87-0,132.09891319274902,139.510229,1788828845.451913,13563958.01215793,87,41.38937918283045
