snapshot,counts_waiting_running,counts_source,wave,publish_monotonic,applied_monotonic,provenance
33,"[[0, 5], [0, 4]]",current,3,2600652.980559857,2600652.980717109,"[{""engine"": 0, ""wave"": 3, ""step"": 121, ""iteration_seq"": 203, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 123, ""iteration_seq"": 185, ""branch"": ""applied_after_scheduling""}]"
34,"[[0, 4], [0, 2]]",latched_previous_step,3,2600653.080574594,2600653.080739671,"[{""engine"": 0, ""wave"": 3, ""step"": 143, ""iteration_seq"": 225, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 143, ""iteration_seq"": 205, ""branch"": ""applied_after_scheduling""}]"
35,"[[0, 4], [0, 1]]",current,3,2600653.180787691,2600653.180960112,"[{""engine"": 0, ""wave"": 3, ""step"": 143, ""iteration_seq"": 225, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 144, ""iteration_seq"": 206, ""branch"": ""applied_after_scheduling""}]"
36,"[[0, 2], [0, 1]]",latched_previous_step,3,2600653.282995224,2600653.283293936,"[{""engine"": 0, ""wave"": 3, ""step"": 164, ""iteration_seq"": 246, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 144, ""iteration_seq"": 206, ""branch"": ""applied_after_scheduling""}]"
37,"[[0, 2], [0, 0]]",current,3,2600653.383137871,2600653.383270093,"[{""engine"": 0, ""wave"": 3, ""step"": 164, ""iteration_seq"": 246, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
38,"[[0, 1], [0, 0]]",current,3,2600653.539614745,2600653.539777992,"[{""engine"": 0, ""wave"": 3, ""step"": 185, ""iteration_seq"": 267, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
39,"[[0, 0], [0, 0]]",current,3,2600653.762770269,2600653.762924442,"[{""engine"": 0, ""wave"": 3, ""step"": 207, ""iteration_seq"": 289, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
40,"[[0, 0], [0, 0]]",current,4,2600658.767258663,2600658.767567413,"[{""engine"": 0, ""wave"": 3, ""step"": 207, ""iteration_seq"": 289, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
41,"[[0, 1], [0, 0]]",current,4,2600660.8464681,2600660.84666247,"[{""engine"": 0, ""wave"": 4, ""step"": 0, ""iteration_seq"": 291, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
42,"[[0, 0], [0, 0]]",current,4,2600660.946578151,2600660.946813023,"[{""engine"": 0, ""wave"": 4, ""step"": 7, ""iteration_seq"": 298, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
43,"[[0, 1], [0, 0]]",current,5,2600664.846075094,2600664.846243406,"[{""engine"": 0, ""wave"": 5, ""step"": 0, ""iteration_seq"": 300, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
44,"[[0, 0], [0, 0]]",current,5,2600664.94564326,2600664.945881658,"[{""engine"": 0, ""wave"": 5, ""step"": 7, ""iteration_seq"": 307, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
45,"[[0, 1], [0, 0]]",current,6,2600668.86267663,2600668.86287314,"[{""engine"": 0, ""wave"": 6, ""step"": 0, ""iteration_seq"": 309, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
46,"[[0, 0], [0, 0]]",current,6,2600668.962968757,2600668.963218228,"[{""engine"": 0, ""wave"": 6, ""step"": 7, ""iteration_seq"": 316, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
47,"[[0, 1], [0, 0]]",current,7,2600672.906150124,2600672.906320182,"[{""engine"": 0, ""wave"": 7, ""step"": 0, ""iteration_seq"": 318, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
48,"[[0, 0], [0, 0]]",current,7,2600673.006379893,2600673.006560616,"[{""engine"": 0, ""wave"": 7, ""step"": 7, ""iteration_seq"": 325, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
49,"[[0, 1], [0, 0]]",current,8,2600677.383294899,2600677.383543069,"[{""engine"": 0, ""wave"": 8, ""step"": 0, ""iteration_seq"": 327, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
50,"[[0, 0], [0, 0]]",current,8,2600677.484196321,2600677.484466238,"[{""engine"": 0, ""wave"": 8, ""step"": 7, ""iteration_seq"": 334, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 165, ""iteration_seq"": 227, ""branch"": ""applied_after_scheduling""}]"
