request_id,segment,role,arrived_at,dispatch_offset_s,route_monotonic,route_seq,engine,snapshot,counts_used,score,start_index,reservation,admitted_wave,admitted_step,admitted_branch,admitted_monotonic,http_status,ttft_ms,model_execution_time_ms
dpp1g3-s14,steady,formal,30.84,30.84114270005375,2600652.231167103,47,0,25,"[[0, 5], [0, 5]]",5,0,1,3,69,applied_after_scheduling,2600652.251308191,200,20.488262176513672,1039.5174203440547
dpp1g3-s15,steady,formal,30.9,30.901432082988322,2600652.291838594,49,0,26,"[[0, 5], [0, 5]]",5,0,1,3,74,applied_after_scheduling,2600652.305377165,200,13.842105865478516,532.0577407255769
dpp1g3-s16,steady,formal,30.96,30.96031828178093,2600652.350247915,50,1,26,"[[1, 5], [0, 5]]",5,0,1,3,80,applied_after_scheduling,2600652.37361452,200,23.685932159423828,697.4821761250496
dpp1g3-s17,steady,formal,31.02,31.02007857710123,2600652.40998651,52,1,27,"[[0, 6], [0, 5]]",5,0,1,3,85,applied_after_scheduling,2600652.435142911,200,25.460481643676758,353.5127663053572
dpp1g3-s18,steady,formal,31.08,31.08032073220238,2600652.470120018,53,0,27,"[[0, 6], [1, 5]]",6,0,1,3,90,applied_after_scheduling,2600652.48880102,200,18.9511775970459,1011.1139230430126
dpp1g3-s19,steady,formal,31.14,31.14052371820435,2600652.531290987,55,0,28,"[[0, 5], [0, 5]]",5,0,1,3,96,applied_after_scheduling,2600652.5550415,200,24.121999740600586,514.2356120049953
dpp1g3-s20,steady,formal,31.2,31.200833539944142,2600652.590697655,57,0,29,"[[0, 5], [0, 6]]",5,0,1,3,101,applied_after_scheduling,2600652.612031499,200,21.648168563842773,673.8634631037712
dpp1g3-s21,steady,formal,31.26,31.260339566040784,2600652.650201307,58,1,29,"[[1, 5], [0, 6]]",6,0,1,3,106,applied_after_scheduling,2600652.665156878,200,15.436410903930664,339.6832849830389
dpp1g3-s22,steady,formal,31.32,31.320555977057666,2600652.710421758,60,0,30,"[[0, 5], [0, 5]]",5,0,1,3,112,applied_after_scheduling,2600652.72874885,200,18.60356330871582,994.2567339166999
dpp1g3-s23,steady,formal,31.38,31.38078923523426,2600652.770952813,61,1,30,"[[1, 5], [0, 5]]",5,0,1,3,118,applied_after_scheduling,2600652.795649659,200,25.180816650390625,500.6695273332298
dpp1g3-z0,sizing,sizing,39.38,39.38293835707009,2600660.773750523,72,0,40,"[[0, 0], [0, 0]]",0,0,1,4,0,applied_after_scheduling,2600660.795838035,200,22.799015045166016,94.63655389845371
dpp1g3-z1,sizing,sizing,43.38,43.384149014018476,2600664.774879797,75,0,42,"[[0, 0], [0, 0]]",0,0,1,5,0,applied_after_scheduling,2600664.795420287,200,21.24810218811035,91.52060514315963
dpp1g3-z2,sizing,sizing,47.38,47.38243628293276,2600668.773512286,78,0,44,"[[0, 0], [0, 0]]",0,0,1,6,0,applied_after_scheduling,2600668.812066944,200,39.08848762512207,109.90709299221635
dpp1g3-z3,sizing,sizing,51.38,51.382945999037474,2600672.774613511,81,0,46,"[[0, 0], [0, 0]]",0,0,1,7,0,applied_after_scheduling,2600672.855588677,200,81.50029182434082,151.16603579372168
dpp1g3-z4,sizing,sizing,55.38,55.38169716717675,2600676.774485597,84,0,48,"[[0, 0], [0, 0]]",0,0,1,8,0,applied_after_scheduling,2600677.332578596,200,558.7770938873291,628.5519548691809
