time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.008,0.011,0.010238095238095239,0.01,0.0006834619092574912,0.024,0.025,0.024250000000000004,0.024,0.00043301270189221973,0.028,0.029,0.02815,0.028,0.0003570714214271428,0.045,0.048,0.04580000000000001,0.046,0.0006782329983125274,0.012,0.013000000000000001,0.012950000000000003,0.013000000000000001,0.00021794494717703385,0.024,0.025,0.024950000000000007,0.025,0.00021794494717703385,0.018000000000000002,0.018000000000000002,0.018000000000000006,0.018000000000000002,3.469446951953614e-18,0.008,0.009000000000000001,0.008100000000000001,0.008,0.0003000000000000003,0.01,0.01,0.010000000000000002,0.01,1.734723475976807e-18,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,16,16,2048,1408,151936,True,312,2
0.008,0.01,0.009904761904761908,0.01,0.00042591770999995997,0.022,0.023,0.022200000000000004,0.022,0.0004000000000000003,0.027,0.028,0.02765,0.028,0.0004769696007084733,0.045,0.046,0.04555000000000001,0.046,0.0004974937185533104,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,0.023,0.023,0.023000000000000003,0.023,3.469446951953614e-18,0.017,0.018000000000000002,0.017300000000000003,0.017,0.0004582575694955844,0.008,0.009000000000000001,0.008100000000000001,0.008,0.0003000000000000003,0.01,0.01,0.010000000000000002,0.01,1.734723475976807e-18,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,16,16,2048,1408,151936,True,304,2
0.008,0.01,0.009904761904761908,0.01,0.00042591770999995997,0.022,0.025,0.023750000000000004,0.024,0.0006224949798994372,0.027,0.029,0.028050000000000002,0.028,0.0004974937185533105,0.045,0.048,0.045500000000000006,0.045,0.0007416198487095671,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,0.023,0.026000000000000002,0.024800000000000006,0.025,0.0006000000000000005,0.018000000000000002,0.018000000000000002,0.018000000000000006,0.018000000000000002,3.469446951953614e-18,0.008,0.009000000000000001,0.008050000000000002,0.008,0.0002179449471770339,0.01,0.01,0.010000000000000002,0.01,1.734723475976807e-18,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,16,16,2048,1408,151936,True,296,2
0.008,0.01,0.009857142857142861,0.01,0.0004665694748158434,0.02,0.023,0.021400000000000002,0.021,0.0008602325267042619,0.027,0.028,0.027350000000000003,0.027,0.0004769696007084732,0.043000000000000003,0.045,0.043550000000000005,0.0435,0.0005894913061275771,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,0.022,0.023,0.022700000000000005,0.023,0.0004582575694955844,0.017,0.018000000000000002,0.017300000000000003,0.017,0.0004582575694955844,0.008,0.009000000000000001,0.008250000000000002,0.008,0.0004330127018922198,0.01,0.01,0.010000000000000002,0.01,1.734723475976807e-18,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,16,16,2048,1408,151936,True,288,2
0.008,0.01,0.009904761904761908,0.01,0.00042591770999995997,0.022,0.025,0.023150000000000004,0.023,0.0010136567466356656,0.027,0.029,0.027700000000000002,0.028,0.0005567764362830027,0.043000000000000003,0.046,0.04360000000000001,0.0435,0.0007348469228349513,0.012,0.013000000000000001,0.012100000000000003,0.012,0.00030000000000000024,0.023,0.025,0.024000000000000004,0.024,0.0006324555320336764,0.018000000000000002,0.018000000000000002,0.018000000000000006,0.018000000000000002,3.469446951953614e-18,0.008,0.008,0.008000000000000002,0.008,1.734723475976807e-18,0.01,0.01,0.010000000000000002,0.01,1.734723475976807e-18,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,16,16,2048,1408,151936,True,280,2
0.008,0.01,0.009619047619047623,0.01,0.0005753831415997412,0.02,0.022,0.02065,0.021,0.0006538348415311009,0.038,0.038,0.038000000000000006,0.038,6.938893903907228e-18,0.043000000000000003,0.044,0.04340000000000001,0.043000000000000003,0.0004898979485566326,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,0.021,0.022,0.021550000000000003,0.022,0.0004974937185533088,0.017,0.018000000000000002,0.017250000000000005,0.017,0.00043301270189221973,0.008,0.008,0.008000000000000002,0.008,1.734723475976807e-18,0.01,0.01,0.010000000000000002,0.01,1.734723475976807e-18,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,16,16,2048,1408,151936,True,272,2
0.008,0.01,0.009238095238095241,0.009000000000000001,0.0005259695722470122,0.021,0.024,0.0221,0.022,0.0006244997998398398,0.037,0.039,0.03810000000000001,0.038,0.00043588989435406776,0.043000000000000003,0.045,0.043500000000000004,0.043000000000000003,0.0005916079783099588,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,0.022,0.024,0.023200000000000005,0.023,0.0006000000000000005,0.018000000000000002,0.018000000000000002,0.018000000000000006,0.018000000000000002,3.469446951953614e-18,0.008,0.009000000000000001,0.008050000000000002,0.008,0.0002179449471770339,0.01,0.01,0.010000000000000002,0.01,1.734723475976807e-18,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,16,16,2048,1408,151936,True,264,2
0.007,0.009000000000000001,0.008904761904761907,0.009000000000000001,0.0004259177099999602,0.02,0.021,0.020250000000000004,0.02,0.00043301270189221973,0.021,0.022,0.021900000000000003,0.022,0.00029999999999999927,0.042,0.046,0.04360000000000001,0.044,0.0007999999999999979,0.011,0.011,0.011000000000000001,0.011,1.734723475976807e-18,0.02,0.022,0.021,0.021,0.00044721359549995763,0.015,0.015,0.015000000000000003,0.015,3.469446951953614e-18,0.008,0.008,0.008000000000000002,0.008,1.734723475976807e-18,0.009000000000000001,0.009000000000000001,0.009000000000000003,0.009000000000000001,1.734723475976807e-18,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,16,16,2048,1408,151936,True,256,2
0.007,0.009000000000000001,0.008904761904761907,0.009000000000000001,0.0004259177099999602,0.02,0.023,0.021150000000000002,0.021,0.0009096702699330119,0.022,0.022,0.022000000000000002,0.022,3.469446951953614e-18,0.043000000000000003,0.044,0.04345,0.043000000000000003,0.000497493718553307,0.011,0.012,0.01105,0.011,0.0002179449471770339,0.022,0.024,0.023050000000000005,0.023,0.0004974937185533104,0.015,0.015,0.015000000000000003,0.015,3.469446951953614e-18,0.008,0.009000000000000001,0.008200000000000002,0.008,0.00040000000000000034,0.009000000000000001,0.009000000000000001,0.009000000000000003,0.009000000000000001,1.734723475976807e-18,0.002,0.003,0.0024000000000000002,0.002,0.0004898979485566356,16,16,2048,1408,151936,True,248,2
0.007,0.009000000000000001,0.008619047619047622,0.009000000000000001,0.000575383141599742,0.02,0.021,0.020150000000000005,0.02,0.00035707142142714284,0.022,0.022,0.022000000000000002,0.022,3.469446951953614e-18,0.043000000000000003,0.044,0.043300000000000005,0.043000000000000003,0.00045825756949558123,0.011,0.012,0.01105,0.011,0.0002179449471770339,0.02,0.022,0.020500000000000004,0.02,0.0005916079783099616,0.015,0.015,0.015000000000000003,0.015,3.469446951953614e-18,0.008,0.008,0.008000000000000002,0.008,1.734723475976807e-18,0.009000000000000001,0.009000000000000001,0.009000000000000003,0.009000000000000001,1.734723475976807e-18,0.002,0.003,0.0020500000000000006,0.002,0.0002179449471770337,16,16,2048,1408,151936,True,240,2
