time_stats.moe_gating.min,time_stats.moe_gating.max,time_stats.moe_gating.mean,time_stats.moe_gating.median,time_stats.moe_gating.std,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,time_stats.moe_expert_up_proj.min,time_stats.moe_expert_up_proj.max,time_stats.moe_expert_up_proj.mean,time_stats.moe_expert_up_proj.median,time_stats.moe_expert_up_proj.std,time_stats.moe_expert_down_proj.min,time_stats.moe_expert_down_proj.max,time_stats.moe_expert_down_proj.mean,time_stats.moe_expert_down_proj.median,time_stats.moe_expert_down_proj.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers
0.035,0.035,0.035,0.035,0.0,0.097,0.097,0.097,0.097,0.0,2.479,2.479,2.479,2.479,0.0,0.012,0.015,0.01305,0.013000000000000001,0.00038405728739343017,0.013000000000000001,0.014,0.013666666666666667,0.014,0.0004714045207910312,688,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.096,0.096,0.096,0.096,0.0,2.572,2.572,2.572,2.572,0.0,0.013000000000000001,0.015,0.013083333333333334,0.013000000000000001,0.0003312434485725296,0.013000000000000001,0.014,0.013216666666666666,0.013000000000000001,0.0004119735698102755,680,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.096,0.096,0.096,0.096,0.0,2.482,2.482,2.482,2.482,0.0,0.012,0.015,0.013066666666666667,0.013000000000000001,0.0003590109871423001,0.013000000000000001,0.014,0.013633333333333334,0.014,0.00048189440982669826,672,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.098,0.098,0.098,0.098,0.0,2.5380000000000003,2.5380000000000003,2.5380000000000003,2.5380000000000003,0.0,0.013000000000000001,0.015,0.01305,0.013000000000000001,0.00028431203515386604,0.013000000000000001,0.014,0.01315,0.013000000000000001,0.00035707142142714214,664,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.095,0.095,0.095,0.095,0.0,2.472,2.472,2.472,2.472,0.0,0.012,0.015,0.013033333333333334,0.013000000000000001,0.00036362373715452377,0.013000000000000001,0.014,0.013600000000000001,0.014,0.0004898979485566352,656,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.096,0.096,0.096,0.096,0.0,2.5500000000000003,2.5500000000000003,2.5500000000000003,2.5500000000000003,0.0,0.013000000000000001,0.015,0.013066666666666667,0.013000000000000001,0.0003091206165165232,0.013000000000000001,0.014,0.013216666666666666,0.013000000000000001,0.00041197356981027546,648,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.094,0.094,0.094,0.094,0.0,2.465,2.465,2.465,2.465,0.0,0.013000000000000001,0.015,0.01305,0.013000000000000001,0.00028431203515386604,0.013000000000000001,0.015,0.013433333333333334,0.013000000000000001,0.000528099317258495,640,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.096,0.096,0.096,0.096,0.0,2.547,2.547,2.547,2.547,0.0,0.013000000000000001,0.015,0.013083333333333334,0.013000000000000001,0.0003312434485725296,0.013000000000000001,0.014,0.013166666666666667,0.013000000000000001,0.0003726779962499646,632,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.095,0.095,0.095,0.095,0.0,2.483,2.483,2.483,2.483,0.0,0.012,0.015,0.013000000000000001,0.013000000000000001,0.0003651483716701107,0.013000000000000001,0.014,0.013516666666666668,0.014,0.0004997221450188312,624,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.096,0.096,0.096,0.096,0.0,2.551,2.551,2.551,2.551,0.0,0.012,0.015,0.013083333333333334,0.013000000000000001,0.0004199867722784714,0.013000000000000001,0.014,0.01305,0.013000000000000001,0.00021794494717703353,616,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.093,0.093,0.093,0.093,0.0,2.392,2.392,2.392,2.392,0.0,0.012,0.015,0.013016666666666668,0.013000000000000001,0.0004278499217664478,0.01,0.014,0.0121,0.013000000000000001,0.0015567059238447492,608,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.094,0.094,0.094,0.094,0.0,2.394,2.394,2.394,2.394,0.0,0.012,0.015,0.013033333333333334,0.013000000000000001,0.00031446603773522,0.01,0.012,0.010683333333333331,0.011,0.0004997221450188313,600,60,60,1,4,2048,1408,True,1
