,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,time_stats.all_reduce.count,rank,num_workers,size,collective,devices_per_node,max_devices_per_node,profiling_precision
94,0.04963900000000001,0.04967999999999995,0.04966599999999998,0.04967899999999997,1.909624744984804e-05,3,0,8,772096,all_reduce,8,8,FP16
95,0.049599000000000046,0.049918999999999984,0.04971899999999999,0.049638999999999954,0.00014236104336040584,3,0,8,780288,all_reduce,8,8,FP16
96,0.04951900000000001,0.05011900000000003,0.04979900000000002,0.04975900000000002,0.0002465765601187689,3,0,8,788480,all_reduce,8,8,FP16
97,0.04963900000000001,0.04999900000000002,0.04978566666666667,0.04971899999999999,0.0001543444920372115,3,0,8,796672,all_reduce,8,8,FP16
98,0.04955899999999997,0.04979899999999998,0.04966566666666666,0.04963900000000001,9.977753031397327e-05,3,0,8,804864,all_reduce,8,8,FP16
99,0.04963900000000001,0.04987900000000002,0.04975900000000002,0.04975900000000002,9.797958971133162e-05,3,0,8,813056,all_reduce,8,8,FP16
100,0.04975900000000002,0.05007900000000007,0.049865666666666704,0.04975900000000002,0.00015084944665315342,3,0,8,821248,all_reduce,8,8,FP16
101,0.04979899999999998,0.049918999999999984,0.04986566666666666,0.04987900000000002,4.9888765156990035e-05,3,0,8,829440,all_reduce,8,8,FP16
102,0.04975900000000002,0.04979899999999998,0.04977233333333336,0.049759000000000074,1.8856180831611062e-05,3,0,8,837632,all_reduce,8,8,FP16
103,0.04967899999999997,0.04975900000000002,0.0497056666666667,0.04967900000000009,3.771236166327609e-05,3,0,8,845824,all_reduce,8,8,FP16
104,0.049679,0.049959,0.049799333333333334,0.04975999999999999,0.00011764447382781193,3,0,8,854016,all_reduce,8,8,FP16
105,0.04963900000000001,0.049918999999999984,0.04981233333333334,0.04987900000000002,0.0001236482466066041,3,0,8,862208,all_reduce,8,8,FP16
106,0.04968000000000001,0.04999899999999997,0.04987933333333335,0.04995900000000006,0.00014189276075809816,3,0,8,870400,all_reduce,8,8,FP16
107,0.04967899999999997,0.04999900000000002,0.04985233333333334,0.04987900000000002,0.00013199326582151035,3,0,8,878592,all_reduce,8,8,FP16
108,0.049598999999999935,0.049959,0.049785999999999976,0.04980000000000001,0.00014730241002783567,3,0,8,886784,all_reduce,8,8,FP16
109,0.050399,0.050678999999999974,0.05051899999999996,0.05047899999999993,0.00011775681155103472,3,0,8,894976,all_reduce,8,8,FP16
110,0.05051999999999998,0.05075899999999996,0.05065266666666666,0.05067900000000003,9.933221475879808e-05,3,0,8,903168,all_reduce,8,8,FP16
111,0.050358999999999925,0.050439000000000025,0.05039899999999998,0.050399,3.26598632371502e-05,3,0,8,911360,all_reduce,8,8,FP16
112,0.05043899999999996,0.05059999999999991,0.05049266666666665,0.05043900000000008,7.589612784730279e-05,3,0,8,919552,all_reduce,8,8,FP16
113,0.050358999999999925,0.05051900000000001,0.05041233333333333,0.050359000000000036,7.542472332657835e-05,3,0,8,927744,all_reduce,8,8,FP16
114,0.050239000000000034,0.05035899999999998,0.05030566666666666,0.05031899999999996,4.988876515696037e-05,3,0,8,935936,all_reduce,8,8,FP16
115,0.050399,0.05075900000000001,0.050559,0.05051900000000001,0.00014966629547096268,3,0,8,944128,all_reduce,8,8,FP16
116,0.05031899999999996,0.050598999999999936,0.050425666666666646,0.050359000000000036,0.00012364824660658416,3,0,8,952320,all_reduce,8,8,FP16
117,0.050399,0.05059899999999999,0.05047933333333333,0.05044,8.625672276536821e-05,3,0,8,960512,all_reduce,8,8,FP16
118,0.05043899999999996,0.05059899999999999,0.050545666666666655,0.05059899999999999,7.542472332657835e-05,3,0,8,968704,all_reduce,8,8,FP16
119,0.05055900000000003,0.050758999999999985,0.0506256666666667,0.05055900000000008,9.428090415817305e-05,3,0,8,976896,all_reduce,8,8,FP16
120,0.05047899999999993,0.05059899999999999,0.05054566666666665,0.05055900000000003,4.988876515701785e-05,3,0,8,985088,all_reduce,8,8,FP16
121,0.050359000000000036,0.05099899999999991,0.05063899999999997,0.05055899999999997,0.00026733250207679665,3,0,8,993280,all_reduce,8,8,FP16
122,0.05047899999999999,0.050678999999999974,0.050585666666666675,0.05059900000000005,8.219218670625041e-05,3,0,8,1001472,all_reduce,8,8,FP16
123,0.050158999999999995,0.050798999999999976,0.050479,0.050479000000000045,0.0002612789058968645,3,0,8,1009664,all_reduce,8,8,FP16
124,0.05019900000000007,0.05039999999999998,0.05030600000000004,0.05031900000000007,8.257118141333786e-05,3,0,8,1017856,all_reduce,8,8,FP16
125,0.050239000000000034,0.05059900000000005,0.05046566666666671,0.05055900000000003,0.00016110727964793004,3,0,8,1026048,all_reduce,8,8,FP16
126,0.05007900000000007,0.050559,0.050345666666666684,0.050399,0.00019955506062791317,3,0,8,1034240,all_reduce,8,8,FP16
127,0.05047899999999999,0.05051900000000001,0.050492333333333334,0.05047899999999999,1.8856180831650313e-05,3,0,8,1042432,all_reduce,8,8,FP16
128,0.040959,0.041399000000000005,0.041185666666666655,0.04119899999999996,0.00017987650084309392,3,0,8,1048576,all_reduce,8,8,FP16
129,0.04095900000000006,0.041038999999999985,0.041012333333333345,0.041038999999999985,3.771236166324829e-05,3,0,8,1081344,all_reduce,8,8,FP16
130,0.040998999999999994,0.04123900000000003,0.041119000000000024,0.04111900000000003,9.797958971134297e-05,3,0,8,1114112,all_reduce,8,8,FP16
131,0.041038999999999985,0.041118999999999975,0.041078999999999984,0.04107900000000001,3.265986323710488e-05,3,0,8,1146880,all_reduce,8,8,FP16
132,0.041399000000000005,0.04159899999999999,0.04151900000000001,0.041559000000000026,8.640987597877009e-05,3,0,8,1179648,all_reduce,8,8,FP16
133,0.041399000000000005,0.04147899999999999,0.041452333333333306,0.041478999999999926,3.771236166325974e-05,3,0,8,1212416,all_reduce,8,8,FP16
134,0.041439000000000024,0.04163900000000001,0.04150566666666669,0.041439000000000024,9.428090415819922e-05,3,0,8,1245184,all_reduce,8,8,FP16
135,0.04131900000000008,0.041598999999999935,0.04145233333333332,0.04143899999999996,0.00011469767022717846,3,0,8,1277952,all_reduce,8,8,FP16
136,0.04119900000000001,0.04143899999999996,0.041319333333333326,0.041319999999999996,9.798072372777266e-05,3,0,8,1310720,all_reduce,8,8,FP16
137,0.041279999999999976,0.04151900000000006,0.04143933333333335,0.04151900000000001,0.00011266568046908419,3,0,8,1343488,all_reduce,8,8,FP16
138,0.041358999999999924,0.04155899999999997,0.04145233333333329,0.041439,8.219218670626956e-05,3,0,8,1376256,all_reduce,8,8,FP16
139,0.041158999999999994,0.041439000000000024,0.0413056666666667,0.04131900000000008,0.00011469767022724998,3,0,8,1409024,all_reduce,8,8,FP16
