,time_stats.send_recv.min,time_stats.send_recv.max,time_stats.send_recv.mean,time_stats.send_recv.median,time_stats.send_recv.std,time_stats.send_recv.count,rank,num_workers,size,collective,devices_per_node,max_devices_per_node,profiling_precision
22,0.010918999999999983,0.011118999999999915,0.011025666666666628,0.011038999999999988,8.219218670622791e-05,3,0,2,182272,send_recv,2,8,FP16
23,0.011198999999999956,0.011239000000000004,0.011212333333333324,0.011199000000000013,1.885618083165072e-05,3,0,2,190464,send_recv,2,8,FP16
24,0.011079000000000007,0.011198999999999956,0.01111899999999999,0.011079000000000007,5.656854249489942e-05,3,0,2,198656,send_recv,2,8,FP16
25,0.011119,0.011278999999999997,0.011185666666666663,0.011158999999999992,6.798692684790352e-05,3,0,2,206848,send_recv,2,8,FP16
26,0.010678999999999973,0.010839,0.010772333333333328,0.010799000000000007,6.798692684791678e-05,3,0,2,215040,send_recv,2,8,FP16
27,0.010878999999999962,0.010959000000000003,0.01090566666666666,0.010879000000000019,3.771236166328876e-05,3,0,2,223232,send_recv,2,8,FP16
28,0.011519000000000005,0.011958999999999947,0.011718999999999974,0.011678999999999974,0.0001818424226264549,3,0,2,231424,send_recv,2,8,FP16
29,0.011599000000000019,0.01163900000000001,0.011625666666666661,0.011638999999999953,1.8856180831623733e-05,3,0,2,239616,send_recv,2,8,FP16
30,0.011079000000000064,0.011478999999999986,0.011265666666666682,0.011239000000000004,0.00016438437341247523,3,0,2,247808,send_recv,2,8,FP16
31,0.011798999999999978,0.011799000000000035,0.011798999999999997,0.011798999999999978,2.6985964133627383e-17,3,0,2,256000,send_recv,2,8,FP16
32,0.011718999999999995,0.011799000000000035,0.011759000000000014,0.011759000000000014,3.265986323712541e-05,3,0,2,264192,send_recv,2,8,FP16
33,0.011319000000000017,0.011478999999999986,0.011399000000000001,0.011399000000000001,6.53197264742055e-05,3,0,2,272384,send_recv,2,8,FP16
34,0.011399000000000001,0.011518999999999977,0.011452333333333314,0.011438999999999965,4.988876515697845e-05,3,0,2,280576,send_recv,2,8,FP16
35,0.012039000000000102,0.012119000000000029,0.012079333333333392,0.01208000000000004,3.2663265128993774e-05,3,0,2,288768,send_recv,2,8,FP16
36,0.012238999999999976,0.012278999999999997,0.012252333333333336,0.012239000000000033,1.885618083163764e-05,3,0,2,296960,send_recv,2,8,FP16
37,0.012239000000000005,0.012319000000000017,0.012279000000000007,0.012278999999999997,3.265986323711409e-05,3,0,2,305152,send_recv,2,8,FP16
