time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,model_arch,quant_signature,measurement_type,is_true_mixed_batch
0.01017600018531084,0.012223999947309494,0.010707199946045876,0.01033599954098463,0.0007724139358606408,5,0.020320000126957893,0.0226879995316267,0.02099200002849102,0.020608000457286835,0.0008600797399671567,5,0.006719999946653843,0.007327999919652939,0.006937599834054708,0.00687999976798892,0.00020480001985562622,5,0.03641600161790848,0.043455999344587326,0.03850880041718483,0.03750399872660637,0.0025654017896083086,5,0.008767999708652496,0.0098879998549819,0.009094399958848953,0.008960000239312649,0.0004029459342832578,5,2048,16,2,16,1,128,2,0,8,False,FLASHINFER,False,even,"[1, 1]",2,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.01017600018531084,0.01152000017464161,0.010585599951446057,0.010463999584317207,0.0004946666188627103,5,0.019936000928282738,0.02208000048995018,0.020691199973225594,0.020191999152302742,0.0007912742326192457,5,0.006719999946653843,0.0072639998979866505,0.006950399931520223,0.006912000011652708,0.00017805347178718304,5,0.0363520011305809,0.04134399816393852,0.0383103996515274,0.036959998309612274,0.0019958758571597,5,0.008320000022649765,0.009440000168979168,0.0088383998721838,0.008799999952316284,0.00040446789789990736,5,2048,16,2,16,1,128,4,0,8,False,FLASHINFER,False,even,"[1, 1, 1, 1]",4,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.010080000385642052,0.01119999960064888,0.010521600022912025,0.01033599954098463,0.00042327168498349464,5,0.019967999309301376,0.022207999601960182,0.020748799666762352,0.020447999238967896,0.0007670927798078383,5,0.006912000011652708,0.007455999962985516,0.0070847999304533005,0.007040000054985285,0.00019475360180250725,5,0.037376001477241516,0.04108799993991852,0.03876480087637901,0.037856001406908035,0.0014227009685290806,5,0.009312000125646591,0.009375999681651592,0.009350399859249592,0.009375999681651592,3.135325119538553e-05,5,2048,16,2,16,1,128,8,0,8,False,FLASHINFER,False,even,"[1, 1, 1, 1, 1, 1, 1, 1]",8,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.010080000385642052,0.011487999930977821,0.010675200074911118,0.010432000271975994,0.0005432841545163789,5,0.02006400004029274,0.022207999601960182,0.020863999798893928,0.02070399932563305,0.0007474584819437813,5,0.0066559999249875546,0.007648000027984381,0.006982399988919497,0.006912000011652708,0.00035828568925315755,5,0.03728000074625015,0.04028800129890442,0.03882879987359047,0.03862399980425835,0.0011584885885238033,5,0.008927999995648861,0.009983999654650688,0.009299199841916562,0.009216000325977802,0.00036011011043583617,5,2048,16,2,16,1,128,1,0,32,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.010048000141978264,0.011615999974310398,0.010598400048911572,0.010432000271975994,0.0005473403145363218,5,0.01990400068461895,0.02739199995994568,0.022150399908423424,0.020864000543951988,0.002759461441162655,5,0.006943999789655209,0.007552000228315592,0.007142399996519088,0.007007999811321497,0.0002284362193832111,5,0.03596799820661545,0.04009599983692169,0.03791999965906143,0.03731200098991394,0.00148901512580631,5,0.00902399979531765,0.010015999898314476,0.009401599876582623,0.009375999681651592,0.0003628297701548368,5,2048,16,2,16,1,128,2,0,32,False,FLASHINFER,False,even,"[1, 1]",2,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.010367999784648418,0.011744000017642975,0.01076479982584715,0.010463999584317207,0.0005094337074995961,5,0.019840000197291374,0.022016000002622604,0.020960000157356263,0.020896000787615776,0.0007045814781024932,5,0.006527999881654978,0.0072639998979866505,0.006803200021386147,0.006783999968320131,0.0002532653648194079,5,0.03868800029158592,0.04259200021624565,0.04000639989972114,0.03903999924659729,0.0014652229266653358,5,0.008960000239312649,0.00940799992531538,0.0091711999848485,0.009184000082314014,0.0001748032389405649,5,2048,16,2,16,1,128,4,0,32,False,FLASHINFER,False,even,"[1, 1, 1, 1]",4,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.010208000428974628,0.011648000217974186,0.010720000043511391,0.010528000071644783,0.0005099960816027836,5,0.019807999953627586,0.02223999984562397,0.020819199830293657,0.02070399932563305,0.0008511276109127088,5,0.006560000125318766,0.007615999784320593,0.006931199971586466,0.006816000211983919,0.0003589708611607308,5,0.036607999354600906,0.042208001017570496,0.03834239989519119,0.03753599897027016,0.0019769066610815012,5,0.008991999551653862,0.009759999811649323,0.00924799982458353,0.009088000282645226,0.0002897723093866848,5,2048,16,2,16,1,128,8,0,32,False,FLASHINFER,False,even,"[1, 1, 1, 1, 1, 1, 1, 1]",8,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.010239999741315842,0.01119999960064888,0.010649600066244602,0.010688000358641148,0.0003228036273130192,5,0.020255999639630318,0.022943999618291855,0.02129279971122742,0.020927999168634415,0.0010396011398664923,5,0.006976000033318996,0.007424000184983015,0.007136000040918589,0.006976000033318996,0.0001982967693689155,5,0.03625600039958954,0.05027199909090996,0.04110720008611679,0.03807999938726425,0.0051209834093582825,5,0.008832000195980072,0.010463999584317207,0.009254400059580803,0.00886400043964386,0.0006239258524694419,5,2048,16,2,16,1,128,1,0,64,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.010111999697983265,0.011680000461637974,0.010598400048911572,0.010432000271975994,0.0005569841015574358,5,0.020640000700950623,0.02239999920129776,0.02115200012922287,0.020896000787615776,0.0006325966889894344,5,0.006688000168651342,0.008320000022649765,0.007084800023585558,0.00684799998998642,0.000622677555086876,5,0.036959998309612274,0.04095999896526337,0.03870079889893532,0.038943998515605927,0.0015075498950797546,5,0.008767999708652496,0.009759999811649323,0.009100799821317196,0.009056000038981438,0.0003572553023373508,5,2048,16,2,16,1,128,2,0,64,False,FLASHINFER,False,even,"[1, 1]",2,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.010304000228643417,0.01539199985563755,0.011481599882245064,0.010495999827980995,0.0019642266016528923,5,0.019999999552965164,0.021727999672293663,0.020607999712228774,0.020287999883294106,0.0006181883806519972,5,0.006496000103652477,0.007584000006318092,0.006963200028985738,0.00684799998998642,0.00039586988364611665,5,0.03683200106024742,0.04044799879193306,0.038412800431251524,0.03836800158023834,0.0012098532968848959,5,0.008960000239312649,0.009503999724984169,0.009196799993515015,0.009184000082314014,0.00018833825154199809,5,2048,16,2,16,1,128,4,0,64,False,FLASHINFER,False,even,"[1, 1, 1, 1]",4,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.010143999941647053,0.011807999573647976,0.010604799911379813,0.010304000228643417,0.0006266117999350827,5,0.02022399939596653,0.02316799946129322,0.021055999770760538,0.020479999482631683,0.0011075883775191525,5,0.00687999976798892,0.007552000228315592,0.0070847999304533005,0.007007999811321497,0.00024836635654862,5,0.037248000502586365,0.05375999957323074,0.041152000427246094,0.03763199970126152,0.0063716166696530865,5,0.00863999966531992,0.009759999811649323,0.009068799763917923,0.008991999551653862,0.0004080972076635109,5,2048,16,2,16,1,128,8,0,64,False,FLASHINFER,False,even,"[1, 1, 1, 1, 1, 1, 1, 1]",8,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.01027199998497963,0.01196799986064434,0.010783999785780906,0.010495999827980995,0.0006088415381067476,5,0.020479999482631683,0.027103999629616737,0.022598399966955184,0.021407999098300934,0.0023537212449217474,5,0.006816000211983919,0.007935999892652035,0.0073344000615179535,0.00723200011998415,0.0004271250028023251,5,0.038176000118255615,0.04992000013589859,0.04140800014138222,0.04012800008058548,0.00435204692195472,5,0.008767999708652496,0.010080000385642052,0.009414399974048138,0.009440000168979168,0.0004863160534484188,5,2048,16,2,16,1,128,1,0,96,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.010143999941647053,0.017855999991297722,0.011897599883377552,0.010463999584317207,0.0029852690511566345,5,0.02006400004029274,0.02208000048995018,0.020691200345754623,0.020416000857949257,0.0007105442081681729,5,0.006719999946653843,0.007296000141650438,0.006931200064718724,0.006816000211983919,0.00020499990205777953,5,0.03670400008559227,0.04009599983692169,0.038540799915790555,0.039103999733924866,0.0013269159133869307,5,0.008832000195980072,0.00940799992531538,0.009139199927449226,0.009151999838650227,0.00018393730357755538,5,2048,16,2,16,1,128,2,0,96,False,FLASHINFER,False,even,"[1, 1]",2,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
