time_stats.moe_gating_linear.min,time_stats.moe_gating_linear.max,time_stats.moe_gating_linear.mean,time_stats.moe_gating_linear.median,time_stats.moe_gating_linear.std,time_stats.moe_gating_routing_topk.min,time_stats.moe_gating_routing_topk.max,time_stats.moe_gating_routing_topk.mean,time_stats.moe_gating_routing_topk.median,time_stats.moe_gating_routing_topk.std,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers,total_routed_tokens,model_expansion_ratio,tokens_per_expert_avg,tokens_to_experts_ratio,expert_utilization,min_load_ratio,load_imbalance_cv,max_load_ratio,load_entropy,load_gini_coefficient,load_distribution,moe_grouped_gemm_backend,measurement_type,profiling_precision,model_arch,quant_signature
0.0491839982569217,0.0807999968528747,0.0539520001038908,0.0513599999248981,0.0069200464299185,0.0789439976215362,0.0922240018844604,0.0819408003240823,0.0806400030851364,0.0034716727014825,0.0466560013592243,0.0602560006082057,0.0486383998766541,0.0475840009748935,0.0030064757557669,0.3464959859848022,0.3583360016345978,0.349806398153305,0.3496319949626922,0.0026350994594395,8,512,512,1,10,2048,512,True,1,80,0.25,0.15625,0.15625,0.138671875,0.0,2.615339366124404,12.8,6.096928112261001,0.874951171875,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.04390399903059,0.0550399981439113,0.0458256000652909,0.0446719992905855,0.0026793473484907,0.0701439976692199,0.0924160033464431,0.0730576004832983,0.0715040005743503,0.0049086323316812,0.040863998234272,0.0469119995832443,0.0420399999246001,0.0416000001132488,0.0015328257463078,0.3651520013809204,0.375328004360199,0.3687936067581177,0.3681919872760772,0.0026373916771262,8,512,512,1,10,2048,512,True,1,80,0.25,0.15625,0.15625,0.150390625,0.0,2.4248711305964283,12.8,6.246928112054441,0.855029296875,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0438399985432624,0.0535040013492107,0.0460351999849081,0.0455040000379085,0.0022030417198074,0.0693439990282058,0.0839359983801841,0.072435200586915,0.071103997528553,0.0034735908372373,0.0410879999399185,0.0797440037131309,0.0460816005244851,0.0420639999210834,0.0103204324450497,0.3737919926643371,0.3810240030288696,0.3764799535274505,0.3761599957942962,0.0019955672323703,8,512,512,1,10,2048,512,True,1,80,0.25,0.15625,0.15625,0.15234375,0.0,2.39165214862028,12.8,6.271928112020014,0.8513671875,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0444799996912479,0.053311999887228,0.046692799963057,0.0459039993584156,0.002346481043163,0.0695680007338523,0.0894720032811164,0.073132798820734,0.0711679980158805,0.0052948783962457,0.0416960008442401,0.04806400090456,0.0428368002176284,0.0422240011394023,0.001539139252571,0.2220800071954727,0.245728000998497,0.2270495891571045,0.2253759950399398,0.0053499434143304,8,512,512,1,10,2048,512,True,2,80,0.25,0.15625,0.15625,0.138671875,0.0,2.615339366124404,12.8,6.096928112261001,0.874951171875,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0445119999349117,0.0549440011382103,0.0472783997654914,0.0460800006985664,0.0029777112415099,0.0701119974255561,0.0834560021758079,0.0729504004120826,0.0716480016708374,0.003397747973364,0.0416960008442401,0.0499840006232261,0.0432063998654484,0.0424479991197586,0.0019433143177148,0.2350399941205978,0.2491839975118637,0.2385679930448532,0.237184002995491,0.0040449290536344,8,512,512,1,10,2048,512,True,2,80,0.25,0.15625,0.15625,0.150390625,0.0,2.4248711305964283,12.8,6.246928112054441,0.855029296875,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0443519987165927,0.0555519983172416,0.0472031999379396,0.0463040005415678,0.0028804955160202,0.0702079981565475,0.0794560015201568,0.0724959999322891,0.0718559995293617,0.0023455917834435,0.0412800014019012,0.0468799993395805,0.0429200002923607,0.0425920002162456,0.0011062871336676,0.2360319942235946,0.2807359993457794,0.2405759841203689,0.238304004073143,0.0096215447410941,8,512,512,1,10,2048,512,True,2,80,0.25,0.15625,0.15625,0.15234375,0.0,2.39165214862028,12.8,6.271928112020014,0.8513671875,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0437760017812252,0.0628160014748573,0.0477247999981045,0.0451200008392334,0.0051788557176162,0.069472000002861,0.0970240011811256,0.0734704002737998,0.0710559971630573,0.0060334940264739,0.0409279987215995,0.0554880015552043,0.0440479999408125,0.0427039992064237,0.0035533767407468,0.5626239776611328,0.6931840181350708,0.57750403881073,0.5723839998245239,0.0275463610887527,16,512,512,1,10,2048,512,True,1,160,0.25,0.3125,0.3125,0.259765625,0.0,1.811077027627484,6.4,6.98442811017955,0.7751708984375001,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0493439994752407,0.0610879994928836,0.0518736002966761,0.0510080009698867,0.0025649047694832,0.0781759992241859,0.0979200005531311,0.0816335991024971,0.0800639986991882,0.0045709449775136,0.0468159988522529,0.053151998668909,0.0485600002110004,0.0480160005390644,0.0016097457761672,0.5848320126533508,0.5966079831123352,0.5895839929580688,0.5892800092697144,0.0032497581560164,16,512,512,1,10,2048,512,True,1,160,0.25,0.3125,0.3125,0.271484375,0.0,1.7663521732655696,9.6,7.049992016202777,0.7596923828125,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0505280010402202,0.0783360004425048,0.0547840002924203,0.0522879995405674,0.006569764581033,0.0790719985961914,0.1343680024147033,0.0858207996934652,0.082431998103857,0.0119234165648439,0.0475840009748935,0.0532159991562366,0.0493151998147368,0.0489919986575841,0.0014408137593344,0.5994240045547485,0.6140480041503906,0.6040271520614624,0.6031680107116699,0.0038880964275449,16,512,512,1,10,2048,512,True,1,160,0.25,0.3125,0.3125,0.279296875,0.0,1.7204650534085253,9.6,7.099992016069072,0.7475830078125001,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0449279993772506,0.0574400015175342,0.0475328002125024,0.0457600001245737,0.003505006851445,0.0701759979128837,0.0867839977145195,0.0735136002302169,0.0711839981377124,0.0046844886811883,0.0393919982016086,0.0476160012185573,0.0432639999315142,0.0427999999374151,0.0019121175308528,0.3345600068569183,0.3549759984016418,0.3389104008674621,0.3369280099868774,0.0045084380544722,16,512,512,1,10,2048,512,True,2,160,0.25,0.3125,0.3125,0.259765625,0.0,1.811077027627484,6.4,6.98442811017955,0.7751708984375001,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0558400005102157,0.1367039978504181,0.0723279999569058,0.0580639988183975,0.0273051315403488,0.089088000357151,0.1954240053892135,0.1105343993753194,0.0913760028779506,0.0364789617802779,0.0539520010352134,0.0607360005378723,0.0550560003146529,0.0545920003205537,0.0014659877948289,0.3479680120944977,0.4465279877185821,0.3839152157306671,0.3864960074424743,0.0200189128518104,16,512,512,1,10,2048,512,True,2,160,0.25,0.3125,0.3125,0.271484375,0.0,1.7663521732655696,9.6,7.049992016202777,0.7596923828125,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0441280007362365,0.0587520003318786,0.0475103998556733,0.0461759995669126,0.0038048402276415,0.0695360004901886,0.081727996468544,0.0731984004378318,0.0716480016708374,0.0036880948929379,0.0413439981639385,0.0501120015978813,0.0439535999670624,0.0429759994149208,0.0027307737250282,0.352288007736206,0.3681280016899109,0.3569520115852356,0.3558399975299835,0.0036388863809406,16,512,512,1,10,2048,512,True,2,160,0.25,0.3125,0.3125,0.279296875,0.0,1.7204650534085253,9.6,7.099992016069072,0.7475830078125001,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0548160001635551,0.0955839976668357,0.0684079995378851,0.0640159994363784,0.0136552133279868,0.0810879990458488,0.1405439972877502,0.0991152003407478,0.0880640000104904,0.0206468168615362,0.0459519997239112,0.0539520010352134,0.0483439998701214,0.0476959999650716,0.0019003766922513,0.7470399737358093,0.7707520127296448,0.7543951272964478,0.7545920014381409,0.0053852908313274,24,512,512,1,10,2048,512,True,1,240,0.25,0.46875,0.46875,0.36328125,0.0,1.4892205269125784,6.4,7.434873057014371,0.7000813802083334,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
